time;total_energy_consumption;power;emotor_efficiency;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
3389,165497;0;2998433,015;0;35895,85354;115,408858;0,875;0;1818,970009;0,875;0
3409,317084;0;2963410,806;0;35502,87542;344,4288013;0,875;0;1836,796007;0,875;0
3419,392877;0;2934755,224;0;35171,87178;457,2;0,875;0;1845,595812;0,875;0
3419,392877;0;2942409,391;0;33897,21103;457,2;0,875;0;1845,595812;0,875;0
3437,41032;0;2899611,381;0;33417,57824;650,7724367;0,875;0;1861,093589;0,875;0
3473,445205;0;2847510,394;0;32855,41953;1032,59449;0,875;0;1891,627288;0,875;0
3491,462647;0;2809031,75;0;32434,84898;1219,2;0,875;0;1906,611083;0,875;0
3491,462647;0;2815211,377;0;31467,62676;1219,2;0,875;0;1906,611083;0,875;0
3515,266051;0;2763236,176;0;30910,2118;1457,237297;0,875;0;1926,120241;0,875;0
3562,87286;0;2673063,576;0;29945,22323;1912,524093;0,875;0;1963,988986;0,875;0
3586,676264;0;2649168,076;0;29709,27711;2133,6;0,875;0;1982,517771;0,875;0
3586,676264;0;2656455,294;0;28728,36204;2133,6;0,875;0;1982,517771;0,875;0
3604,169241;0;2622184,661;0;28373,26432;2290,661952;0,875;0;1995,995669;0,875;0
3639,155196;0;2555714,509;0;27688,77503;2595,319442;0,875;0;2022,427309;0,875;0
3656,648173;0;2525281,482;0;27373,87842;2743,2;0,875;0;2035,398363;0,875;0
3656,648173;0;2530314,893;0;26670,98739;2743,2;0,875;0;2035,398363;0,875;0
3675,878779;0;2501027,459;0;26379,56983;2899,880432;0,875;0;2049,503615;0,875;0
3714,339992;0;2444065,12;0;25813,96145;3204,641931;0,875;0;2077,221319;0,875;0
3733,570599;0;2416375,665;0;25540,7877;3352,8;0,875;0;2090,844163;0,875;0
3733,570599;0;1178019,69;0;11693,62254;3352,8;0,83;0;2090,844163;0,83;0
3918,462286;0;1176421,428;0;11677,90978;3352,8;0,83;0;2171,486192;0,83;0
4288,245662;0;1173235,618;0;11646,5896;3352,8;0,83;0;2332,583928;0,83;0
4473,137349;0;1171648,056;0;11630,98202;3352,8;0,83;0;2413,0398;0,83;0
4473,137349;0;172870,2892;0;1146,361593;3352,8;0,4;0;2413,0398;0,4;0
4499,621044;0;172713,9495;0;1143,058387;3199,725529;0,4;0;2419,110013;0,4;0
4552,588432;0;184820,5182;0;1203,206146;2895,259095;0,4;0;2431,607021;0,4;0
4579,072127;0;184820,5182;0;1201,63422;2743,2;0,4;0;2437,989804;0,4;0
4579,072127;0;184820,5182;0;1243,937921;2743,2;0,4;0;2437,989804;0,4;0
4606,63374;0;184820,5182;0;1249,055706;2591,382872;0,4;0;2444,740565;0,4;0
4661,756966;0;184820,5182;0;1240,362727;2285,924371;0,4;0;2458,320582;0,4;0
4689,318579;0;197943,6506;0;1308,088729;2133,6;0,4;0;2465,282782;0,4;0
4689,318579;0;194820,5571;0;1348,993814;2133,6;0,4;0;2465,282782;0,4;0
4733,362601;0;210140,4787;0;1431,35306;1903,860453;0,4;0;2476,747011;0,4;0
4821,450643;0;226952,9205;0;1520,773911;1446,513503;0,4;0;2500,417572;0,4;0
4865,494665;0;238568,5059;0;1583,614402;1219,2;0,4;0;2512,67344;0,4;0
4865,494665;0;237227,8262;0;1637,375383;1219,2;0,4;0;2512,67344;0,4;0
4904,287594;0;237037,7026;0;1632,768469;1027,880141;0,4;0;2523,639401;0,4;0
4981,873451;0;247876,6121;0;1702,617658;647,0633086;0,4;0;2546,104394;0,4;0
5020,66638;0;252005,5029;0;1728,038401;457,2;0,4;0;2557,602222;0,4;0
5020,66638;0;556467,2734;0;8437,147064;457,2;0,81;0;2557,602222;0,81;0
5056,043815;0;555472,9751;0;8423,374193;342,9;0,81;0;2570,612998;0,81;0
5126,798685;0;553558,0754;0;8402,693339;114,3;0,81;0;2596,852722;0,81;0
5162,17612;0;553054,7183;0;8395,745004;0;0,81;0;2610,094239;0,81;0
5162,17612;0;2131146,963;0;14551,08479;5181,6;0,83;0;2610,094239;0,83;0
5837,17612;0;2125578,748;0;14510,44226;5181,6;0,83;0;3020,775586;0,83;0
7187,17612;0;2114604,36;0;14430,33995;5181,6;0,83;0;3839,490609;0,83;0
7862,17612;0;2109197,429;0;14390,87463;5181,6;0,83;0;4247,540883;0,83;0
