time;total_energy_consumption;power;emotor_efficiency;power_propeller_turboprop;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
0;0;3139389,568;0,970731783;1414730,339;33899,17517;0;0,849030743;0;0;0,849030743;23,42589428
18,03814823;56206404,34;3115974,191;0,970731783;1403022,65;33652,45309;116,0541425;0,84899009;37856,05794;13,77736755;0,84899009;23,63305918
54,11444468;110748941,6;3069853,409;0,970731783;1379962,259;33166,28461;344,6583493;0,848909724;37295,73526;41,00173357;0,848909724;24,02217901
72,15259291;54964937,12;3047149,653;0,970731783;1368610,381;32926,86334;457,2;0,84887015;37019,90669;54,45143646;0,84887015;24,2049054
72,15259291;0;3055874,186;0,970731783;1372972,648;31870,09047;457,2;0,85490421;0;54,45143646;0,85490421;24,20587505
92,48729672;61317251,82;3015399,309;0,970731783;1352735,209;31459,58853;653,0591224;0,854855688;35098,60682;69,47025551;0,854855688;24,40295357
133,1567043;119380731,5;2935393,913;0,970731783;1312732,511;30648,20563;1034,10719;0,854773531;34167,36102;98,89249591;0,854773531;24,77083461
153,4914082;58872770,05;2895186,984;0,970731783;1292629,047;30240,82803;1219,2;0,854747284;33699,36092;113,3015487;0,854747284;24,94254701
153,4914082;0;2902470,53;0,970731783;1296270,82;29425,91489;1219,2;0,859196103;0;113,3015487;0,859196103;24,94344724
180,5792434;77236618,13;2851339,635;0,970731783;1270705,372;28923,61253;1456,132378;0,859166267;32037,92396;132,2112666;0,859166267;25,16040926
234,754914;149502042,4;2759578,991;0,970731783;1224825,05;28018,82263;1913,244144;0,859062824;31006,89262;169,1091577;0,859062824;25,55764215
261,8427493;73557617,84;2715522,19;0,970731783;1202796,65;27583,98222;2133,6;0,859013507;30511,8662;187,1145599;0,859013507;25,73959554
261,8427493;0;2723388,064;0,970731783;1206729,587;26736,15982;2133,6;0,863432559;0;187,1145599;0,863432559;25,74051012
281,9439345;54116516,23;2692205,245;0,970731783;1191138,177;26439,24987;2290,04543;0,863402252;29073,49077;200,3123778;0,863402252;25,86892609
322,1463047;105784718,2;2631305,51;0,970731783;1160688,31;25859,08968;2594,926507;0,863345394;28415,82624;226,2648857;0,863345394;26,11025701
342,2474899;52262996,71;2599995,781;0,970731783;1145033,445;25561,29598;2743,2;0,863330602;28077,70822;239,0213188;0,863330602;26,22370723
342,2474899;0;2605762,774;0,970731783;1147916,942;24940,51741;2743,2;0,866303784;0;239,0213188;0,866303784;26,22426266
364,4858323;57202221,47;2572234,047;0,970731783;1131152,578;24630,49471;2900,510707;0,866289447;26939,77902;252,9865532;0,866289447;26,34453557
408,9625172;111523521,8;2507460,304;0,970731783;1098765,707;24031,19069;3205,197157;0,866264209;26261,38417;280,4089002;0,866264209;26,56989449
431,2008597;55086614,04;2477100,712;0,970731783;1083585,911;23749,82638;3352,8;0,866247989;25943,41905;293,8800759;0,866247989;26,67555811
431,2008597;0;2482516,339;0,970731783;1086293,724;23160,47316;3352,8;0,868827841;0;293,8800759;0,868827841;26,67604549
456,0550031;60954163,82;2452474,939;0,970731783;1071273,024;22889,25939;3510,073619;0,868800083;24907,15728;308,7814917;0,868800083;26,78900462
505,7632899;119001330,2;2393993,796;0,970731783;1042032,453;22360,98268;3814,852273;0,868747113;24313,22704;338,081447;0,868747113;27,00009934
530,6174333;58792092,12;2365484,546;0,970731783;1027777,828;22103,33044;3962,4;0,868722488;24023,68917;352,4852823;0,868722488;27,0988596
530,6174333;0;2371380,211;0,970731783;1030725,66;21541,36958;3962,4;0,870948293;0;352,4852823;0,870948293;27,09927823
558,7550357;65870242,78;2341004,107;0,970731783;1015537,608;21274,84015;4120,429196;0,87092099;23040,74906;368,6251435;0,87092099;27,20606891
