time;total_energy_consumption;power;emotor_efficiency;power_propeller_turboprop;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
2791,735835;3058893,307;131693,78;0;65846,88998;9,02333999;4572;0,143609544;1256,095333;1308,584492;0,143609544;0,024476274
2791,735835;0;130593,1182;0;65296,55909;54,42010467;4572;0,173613483;0;1308,584492;0,173613483;0,024476274
2816,088878;3321244,095;136379,0182;0;68189,5091;90,68375618;4419,586378;0,19530247;1342,276473;1312,818833;0,19530247;0,024476615
2864,794964;6977447,745;143256,1784;0;71628,08922;117,173311;4114,866874;0,208673476;1409,963207;1321,436834;0,208673476;0,024477299
2889,148008;3561834,019;146258,2673;0;73129,13366;125,7905222;3962,4;0,212356714;1439,510518;1325,823727;0,212356714;0,02447764
2889,148008;0;145121,8843;0;72560,94216;172,9825734;3962,4;0,23789098;0;1325,823727;0,23789098;0,02447764
2914,6348;3843761,389;150813,8564;0;75406,92822;208,7687586;3809,567022;0,254173738;1531,654567;1330,464641;0,254173738;0,024477998
2965,608384;8254272,189;161932,3489;0;80966,17445;276,968693;3504,806293;0,281786804;1644,573169;1339,869517;0,281786804;0,024478712
2991,095176;4268317,266;167471,7346;0;83735,86731;310,4899235;3352,8;0,293944372;1700,830768;1344,632397;0,293944372;0,02447907
2991,095176;0;166438,5356;0;83219,26782;361,0827491;3352,8;0,314819158;0;1344,632397;0,314819158;0,02447907
3017,810035;4579071,902;171405,4303;0;85702,71514;389,9039752;3200,579752;0,32346389;1795,180505;1349,656066;0,32346389;0,024479444
3071,239752;9498232,822;177770,5995;0;88885,29974;410,1788358;2895,601543;0,326147925;1861,844832;1359,900825;0,326147925;0,024480193
3097,95461;4895079,192;183234,3332;0;91617,16662;443,1419074;2743,2;0,335269437;1919,068154;1365,100275;0,335269437;0,024480567
3097,95461;0;182172,6655;0;91086,33273;494,6929673;2743,2;0,35263598;0;1365,100275;0,35263598;0,024480567
3125,957309;5254799,742;187653,3309;0;93826,66544;528,8487223;2590,390207;0,360814166;2026,493854;1370,597379;0,360814166;0,024480959
3181,962707;11103068,15;198249,9642;0;99124,98211;592,5203573;2285,633787;0,374394162;2140,928339;1381,715851;0,374394162;0,024481744
3209,965406;5698109,632;203484,301;0;101742,1505;623,2624704;2133,6;0,380303022;2197,454654;1387,336802;0,380303022;0,024482136
3209,965406;0;202146,5318;0;101073,2659;693,1861597;2133,6;0,398407772;0;1387,336802;0,398407772;0,024482136
3254,599285;9243770,045;207102,0994;0;103551,0497;709,425213;1904,033617;0,398136951;2327,018932;1396,434734;0,398136951;0,024482761
3343,867044;19880428,1;222705,5806;0;111352,7903;801,862127;1446,996315;0,411538581;2502,341135;1414,942353;0,411538581;0,02448401
3388,500924;10276593,64;230241,9965;0;115120,9983;844,1753401;1219,2;0,416586595;2587,021022;1424,342189;0,416586595;0,024484634
3388,500924;0;229169,3387;0;114584,6693;911,4989538;1219,2;0,429386227;0;1424,342189;0,429386227;0,024484634
3427,916999;9263318,674;235013,7266;0;117506,8633;942,7300402;1028,326176;0,431900456;2735,509809;1432,731954;0,431900456;0,024485186
3506,749149;19449582,61;246721,4532;0;123360,7266;1003,864883;647,3521964;0,436152043;2871,785257;1449,737924;0,436152043;0,024486288
3546,165223;9968434,317;252902,7705;0;126451,3852;1037,318019;457,2;0,438581051;2943,734476;1458,354143;0,438581051;0,024486839
3546,165223;0;594654,9102;0;297327,4551;7207,378627;457,2;0,739884992;0;1458,354143;0,739884992;0,024486839
3583,1467;21988306,04;594576,1993;0;297288,0997;7184,779253;342,9;0,738070437;10068,05794;1468,966766;0,738070437;0,024487355
3657,109654;44002078,98;594920,519;0;297460,2595;7146,166016;114,3;0,734483835;10073,88836;1490,346986;0,734483835;0,024488389
3694,091131;22016553,78;595340,0341;0;297670,017;7130,106925;0;0,73271466;10080,99208;1501,132414;0,73271466;0,024488905
3694,091131;0;3024046,838;0,97107736;1298571,46;33333,00988;0;0,850656552;0;1501,132414;0,850656552;95,14602267
3705,791792;35119366,11;3001485,652;0,97107736;1287290,868;33094,48209;116,0348541;0,850652809;36465,13346;1509,744685;0,850652809;95,18049749
3729,193113;69198685,59;2957041,852;0,97107736;1265068,968;32624,23605;344,6293557;0,850645159;35925,18449;1526,762747;0,850645159;95,24910757
3740,893773;34343274,75;2935157,055;0,97107736;1254126,569;32392,50459;457,2;0,850641378;35659,30547;1535,170203;0,850641378;95,28324373
3740,893773;0;2943564,715;0,97107736;1258330,399;31343,33453;457,2;0,856249443;0;1535,170203;0,856249443;95,28324556
3761,902892;61022266,07;2904560,923;0,97107736;1238828,503;30946,2007;653,0539003;0,856255046;33808,47158;1550,123567;0,856255046;95,3442578
3803,921131;118804910,6;2827460,489;0,97107736;1200278,286;30160,64356;1034,106081;0,856273052;32911,03892;1579,417574;0,856273052;95,46520905
3824,93025;58588416,64;2788713,636;0,97107736;1180904,86;29765,90048;1219,2;0,856290235;32460,03379;1593,763824;0,856290235;95,52515296
3824,93025;0;2795732,645;0,97107736;1184414,364;28956,69134;1219,2;0,86035793;0;1593,763824;0,86035793;95,5251553
3852,971353;77013706,25;2746457,807;0,97107736;1159776,945;28470,07219;1456,137572;0,860377812;30859,46174;1612,628042;0,860377812;95,60461589
3909,053559;149068138;2658029,144;0,97107736;1115562,614;27593,34892;1913,253192;0,860391813;29865,86886;1649,437124;0,860391813;95,76168187
3937,094662;73343586,25;2615574,225;0,97107736;1094335,154;27171,71656;2133,6;0,86039852;29388,84134;1667,399195;0,86039852;95,83929805
3937,094662;0;2623154,413;0,97107736;1098125,248;26329,67582;2133,6;0,864344096;0;1667,399195;0,864344096;95,83929975
3957,958855;54102977,63;2593101,858;0,97107736;1083098,971;26041,85583;2290,057346;0,864348316;28003,25981;1680,600441;0,864348316;95,89665811
3999,68724;105756965,3;2534413,094;0,97107736;1053754,589;25479,1958;2594,94262;0,864356348;27369,47186;1706,55966;0,864356348;96,0103799
4020,551432;52249021,56;2504243,709;0,97107736;1038669,896;25190,17905;2743,2;0,864364945;27043,66856;1719,319399;0,864364945;96,06674749
4020,551432;0;2509801,246;0,97107736;1041448,665;24573,60899;2743,2;0,866941058;0;1719,319399;0,866941058;96,06674804
4043,697569;57344148,43;2477482,46;0,97107736;1025289,271;24272,68779;2900,548758;0,866944383;25947,41721;1733,326767;0,866944383;96,12889892
4089,989842;111798689,7;2415061,574;0,97107736;994078,8285;23690,82704;3205,233937;0,866949948;25293,66454;1760,831796;0,866949948;96,2520075
4113,135978;55222332,75;2385812,161;0,97107736;979454,1221;23417,62411;3352,8;0,866951355;24987,32667;1774,343615;0,866951355;96,31297056
4113,135978;0;1196842,441;0,97107736;384969,2621;12064,3926;3352,8;0,815219956;0;1774,343615;0,815219956;96,31297034
4343,546896;275475043,6;1195581,555;0,97107736;384338,8189;12052,17208;3352,8;0,815019592;12361,83309;1856,860013;0,815019592;96,89893862
4804,368731;549791741,3;1193067,905;0,97107736;383081,9941;12027,80675;3352,8;0,814617808;12335,84296;2021,739572;0,814617808;97,96325076
5034,779649;274607218,4;1191815,131;0,97107736;382455,6073;12015,66186;3352,8;0,814416388;12322,88978;2104,102893;0,814416388;98,44359065
5034,779649;0;166438,5356;0;83219,26782;361,0827491;3352,8;0,314819158;0;2104,102893;0,314819158;0,025288163
5061,452106;4571787,958;171404,83;0;85702,41501;389,9044844;3200,625667;0,323464787;1795,174218;2109,11857;0,323464787;0,025288426
5114,797021;9483075,166;177769,0557;0;88884,52785;410,169479;2895,644606;0,326145248;1861,828663;2119,347033;0,326145248;0,025288949
5141,469478;4887309,873;183234,3332;0;91617,16662;443,1419074;2743,2;0,335269437;1919,068154;2124,538224;0,335269437;0,025289211
5141,469478;0;182172,6655;0;91086,33273;494,6929673;2743,2;0,35263598;0;2124,538224;0,35263598;0,025289211
5169,432856;5247382,298;187651,946;0;93825,973;528,8401314;2590,428819;0,360812177;2026,478898;2130,027603;0,360812177;0,025289486
5225,359613;11087402,7;198248,6254;0;99124,31268;592,512399;2285,672331;0,374392572;2140,913881;2141,130437;0,374392572;0,025290035
5253,322991;5690108,426;203484,301;0;101742,1505;623,2624704;2133,6;0,380303022;2197,454654;2146,74349;0,380303022;0,02529031
5253,322991;0;202146,5318;0;101073,2659;693,1861597;2133,6;0,398407772;0;2146,74349;0,398407772;0,02529031
5297,907191;9233349,13;207099,1322;0;103549,5661;709,4073485;1904,120536;0,398134105;2326,985593;2155,831273;0,398134105;0,025290747
5387,075591;19858035,28;222702,6086;0;111351,3043;801,8448096;1447,08336;0,411536306;2502,307741;2174,318199;0,411536306;0,025291622
5431,659791;10265155,22;230241,9965;0;115120,9983;844,1753401;1219,2;0,416586595;2587,021022;2183,707551;0,416586595;0,025292059
5431,659791;0;229169,3387;0;114584,6693;911,4989538;1219,2;0,429386227;0;2183,707551;0,429386227;0,025292059
5471,03703;9254161,742;235012,9663;0;117506,4832;942,7330661;1028,389905;0,431902362;2735,500959;2192,088997;0,431902362;0,025292445
5549,79151;19430260,06;246719,4255;0;123359,7127;1003,853911;647,4150851;0,436151227;2871,761655;2209,078136;0,436151227;0,025293217
5589,16875;9958613,091;252902,7705;0;126451,3852;1037,318019;457,2;0,438581051;2943,734476;2217,685853;0,438581051;0,025293603
5589,16875;0;584693,1516;0;292346,5758;7112,642133;457,2;0,737719203;0;2217,685853;0,737719203;0,025293603
5626,402315;21767944,28;584632,2875;0;292316,1437;7090,337744;342,9;0,735892154;9967,158268;2228,329958;0,735892154;0,025293968
5700,869446;43563538,35;585003,5816;0;292501,7908;7052,231048;114,3;0,732281434;9973,48831;2249,76363;0,732281434;0,025294698
5738,103011;21797728,08;585432,2057;0;292716,1028;7036,382691;0;0,730500608;9980,795748;2260,580063;0,730500608;0,025295062
5738,103011;0;1732753,728;0,97107736;652924,9059;14480,89629;457,2;0,825779712;0;2260,580063;0,825779712;98,47102527
6188,103011;778773659;1730608,131;0,97107736;651852,107;14462,97605;457,2;0,825583056;15291,05947;2481,307488;0,825583056;99,29113388
7088,103011;1553715039;1726350,043;0,97107736;649723,0633;14427,40778;457,2;0,825190479;15253,43647;2922,230306;0,825190479;99,83315342
7538,103011;775907133,8;1724238,075;0,97107736;648667,0793;14409,76415;457,2;0,824994623;15234,77584;3142,427369;0,824994623;98,58610385
