;segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;density_kg_m3;temperature_C;lift_coefficient;drag_coefficient;angle_of_attack_rad;flight_path_angle_rad;mass_kg;mass_flow_kg_s;CG_m;CG_percent;throttle;battery_energy;battery_voltage;battery_voltage_under_load;battery_voltage_open_circuit;state_of_charge;rpm;rpm_wtp;battery_resistive_losses;emotor_efficiency;emotorWTP_efficiency;combustion_engine_throttle;beta_propeller;eta_propeller;cp_propeller;ct_propeller;j_propeller;rpm_propeller;thrust_propeller;beta_propellerWTP;eta_propellerWTP;cp_propellerWTP;ct_propellerWTP;j_propellerWTP;rpm_propellerWTP;thrust_propellerWTP;power_WTP;propeller_rpm;battery_current;battery_draw;propeller_motor_torque;propeller_torque;battery_specfic_power;propeller_tip_mach;propeller_power_coefficient;gas_turbine_p3;gas_turbine_t3;gas_turbine_far;electric_throttle;electric_throttle_WTP;disc_loading;power_loading;propeller_thrust;power;heat_load_vcs;tms_mdot_air_vcs;heat_load_liquid;tms_mdot_air_liquid;thrust_turboprop;thrust_WTP;power_propeller_turboprop;power_turboshaft;power_motor_turboprop;power_propeller_WTP;propellerWTP_tip_mach;co_emissions_index;co2_emissions_index;nox_emissions_index;co_emissions_total;co2_emissions_total;nox_emissions_total;l_over_d;weight;lift;drag
0;climb_1;0;0;0,241882353;82,31111111;101325;1,225;288,15;0,792185563;0,083541727;0,081848217;0,160485047;18044,90407;0,242683833;9,359525436;21,34110161;0,9;98056335,18;0;790,5484369;791,7953634;0,95;1039,679068;3718,666711;23,42589428;0,970731783;0,97065007;0,9;27,52455877;0,849030743;0,163941604;0,123943293;1,123025362;1039,679068;14592,79962;29,3715971;0,83455632;0,229733056;0,170722034;1,123025362;3718,666711;1571,191976;154964,4454;1039,679068;18,78690916;-14851,96167;-64,24324423;12994,08636;100,5078159;0,676650634;0,163941604;19,10966378;729,1406474;0,024038118;-1;1;1150,315666;0,022850986;32327,98319;3139389,568;121,6852479;0,032317069;6573,100317;0,173988056;14592,79962;1571,191976;1414730,339;1604462,876;-168188,4201;154964,4454;0,676650634;2,004989242;3160;17,03331032;0;0;0;9,482513584;177020,5089;173705,598;18318,51824
1;climb_1;18,03814823;116,0541425;0,242199584;82,31111111;99938,59432;1,211409928;287,3956618;0,800805636;0,083992837;0,083083537;0,160934375;18040,54414;0,240731987;9,359327633;21,33139571;0,9;97787982,21;0;790,1039237;791,3609225;0,947400114;1039,679068;3718,666711;23,63305918;0,970731783;0,97065007;0,9;27,536937;0,84899009;0,164408836;0,124290579;1,123025362;1039,679068;14471,34305;29,44030019;0,833881932;0,232310292;0,172497756;1,123025362;3718,666711;1569,922327;154964,4454;1039,679068;18,80117847;-14854,88488;-64,24324423;12886,55299;100,5275982;0,677538067;0,164408836;18,9468657;728,2580527;0,024049667;-1;1;1141,581816;0,022866723;32082,53076;3115974,191;121,7888304;0,03051918;6573,100317;0,171541915;14471,34305;1569,922327;1403022,65;1592576,897;-168188,4201;154964,4454;0,677538067;2,0003111;3160;16,94834205;0,008731324;13,77736755;0,074078861;9,534213406;176977,7381;173647,7067;18213,11306
2;climb_1;54,11444468;344,6583493;0,242828101;82,31111111;97252,70971;1,184979141;285,9098419;0,818130523;0,084913463;0,085567471;0,161836462;18031,92884;0,236899689;9,358936488;21,31220286;0,9;97251112,89;0;789,2222421;790,4980401;0,942198758;1039,679068;3718,666711;24,02217901;0,970731783;0,97065007;0,9;27,56081365;0,848909724;0,165313417;0,124962599;1,123025362;1039,679068;14232,14151;29,57792588;0,832507042;0,237491939;0,176054538;1,123025362;3718,666711;1567,333867;154964,4454;1039,679068;18,82913935;-14860,37557;-64,24324423;12674,74676;100,5647554;0,679296305;0,165313417;18,62619665;726,5196462;0,024072416;-1;1;1124,374752;0,022898417;31598,95074;3069853,409;121,9833903;0,02717252;6573,100317;0,166961315;14232,14151;1567,333867;1379962,259;1569165,333;-168188,4201;154964,4454;0,679296305;1,991409378;3160;16,77937211;0,025925972;41,00173357;0,219367137;9,634874083;176893,2219;173533,8108;18011,00972
3;climb_1;72,15259291;457,2;0,243139306;82,31111111;95952,1631;1,172131188;285,1784132;0,8268312;0,085382838;0,086815515;0,162289392;18027,6726;0,235019124;9,358743112;21,30271421;0,9;96982600,84;0;788,7850274;790,0695948;0,939597331;1039,679068;3718,666711;24,2049054;0,970731783;0,97065007;0,9;27,57230996;0,84887015;0,165750638;0,125287259;1,123025362;1039,679068;14114,40672;29,64681525;0,83180738;0,240095133;0,177834722;1,123025362;3718,666711;1566,016635;154964,4454;1039,679068;18,84284491;-14862,95394;-64,24324423;12570,48146;100,582204;0,68016688;0,165750638;18,4683373;725,6638962;0,024083614;-1;1;1115,902377;0,022914371;31360,8467;3047149,653;122,0747535;0,026014323;6573,100317;0,164785173;14114,40672;1566,016635;1368610,381;1557640,584;-168188,4201;154964,4454;0,68016688;1,987172793;3160;16,69541963;0,034392822;54,45143646;0,29060553;9,683810255;176851,4682;173477,7898;17914,20786
4;climb_2;72,15259291;457,2;0,25377665;85,91222222;95952,1631;1,172131188;285,1784132;0,758083616;0,044948737;0,072452728;0,185847372;18027,6726;0,235367019;9,358743112;21,30271421;0,9;96982600,84;0;788,7849772;790,0695948;0,939597331;1039,679068;3718,666711;24,20587505;0,970731783;0,97065007;0,9;28,30671581;0,85490421;0,166278947;0,12127427;1,172157722;1039,679068;13662,31797;30,27154796;0,839999349;0,240095133;0,172058548;1,172157722;3718,666711;1515,15151;154964,4454;1039,679068;18,84286346;-14862,96762;-64,24324423;12610,54822;100,5822966;0,68016688;0,166278947;18,50255196;726,0567978;0,024077287;-1;1;1080,109502;0,022108917;30354,93896;3055874,186;122,0752383;0,026464978;6573,100317;0,165552948;13662,31797;1515,15151;1372972,648;1562069,281;-168188,4201;154964,4454;0,68016688;1,985001335;3160;16,72020517;0,034392822;54,45143646;0,29060553;16,8655153;176851,4682;173275,4805;10273,95116
5;climb_2;92,48729672;653,0591224;0,254344905;85,91222222;93722,49317;1,150027034;283,9055508;0,772459176;0,04562055;0,074396434;0,185729221;18022,91981;0,23211728;9,358527068;21,29211326;0,9;96679843,95;0;788,2949622;789,5889922;0,936664129;1039,679068;3718,666711;24,40295357;0,970731783;0,97065007;0,9;28,32386103;0,854855688;0,166976881;0,121776391;1,172157722;1039,679068;13460,17317;30,38784725;0,83885131;0,244709894;0,175125933;1,172157722;3718,666711;1513,080731;154964,4454;1039,679068;18,85810417;-14865,74851;-64,24324423;12424,67038;100,6011157;0,681689905;0,166976881;18,22496056;724,5643908;0,024096917;-1;1;1065,576435;0,022137746;29946,5078;3015399,309;122,1737776;0,024525297;6573,100317;0,161940371;13460,17317;1513,080731;1352735,209;1541523,658;-168188,4201;154964,4454;0,681689905;1,977463532;3160;16,57207586;0,043807462;69,47025551;0,369731323;16,9322634;176804,8434;173231,6992;10230,8649
6;climb_2;133,1567043;1034,10719;0,255461382;85,91222222;89505,1896;1,10794158;281,4293941;0,80139341;0,047003774;0,078311638;0,185511277;18013,60898;0,225791018;9,358103502;21,27132953;0,9;96074155,6;0;787,3239158;788,6353777;0,930796033;1039,679068;3718,666711;24,77083461;0,970731783;0,97065007;0,9;28,35325469;0,854773531;0,168194186;0,122652384;1,172157722;1039,679068;13060,87742;30,62070625;0,836487458;0,254005264;0,181265894;1,172157722;3718,666711;1508,816926;154964,4454;1039,679068;18,88795604;-14870,93951;-64,24324423;12057,25159;100,6362448;0,684682262;0,168194186;17,68240687;721,637343;0,024134712;-1;1;1036,85699;0,022197507;29139,3887;2935393,913;122,3577181;0,02083793;6573,100317;0,155392547;13060,87742;1508,816926;1312732,511;1500911,782;-168188,4201;154964,4454;0,684682262;1,963616618;3160;16,27784383;0,062155448;98,89249591;0,522655812;17,04955465;176713,5041;173143,5858;10155,31428
7;climb_2;153,4914082;1219,2;0,25600899;85,91222222;87513,02812;1,087930805;280,2267163;0,815930555;0,047714588;0,080281095;0,185373353;18009,04915;0,222693616;9,357895907;21,26114321;0,9;95771229,15;0;786,8428266;788,1623577;0,927861189;1039,679068;3718,666711;24,94254701;0,970731783;0,97065007;0,9;28,36418329;0,854747284;0,168664715;0,122991731;1,172157722;1039,679068;12860,46546;30,73705115;0,835276339;0,258677291;0,18433272;1,172157722;3718,666711;1506,632366;154964,4454;1039,679068;18,9025838;-14873,36247;-64,24324423;11872,60428;100,6526417;0,68614995;0,168664715;17,42301481;720,2845819;0,024161882;-1;1;1022,439143;0,022229267;28734,19566;2895186,984;122,4435743;0,019378891;6573,100317;0,152436987;12860,46546;1506,632366;1292629,047;1480502,173;-168188,4201;154964,4454;0,68614995;1,95654085;3160;16,13673691;0,071093143;113,3015487;0,596557389;17,10023267;176668,7722;173100,4712;10122,69684
8;climb_3;153,4914082;1219,2;0,265206918;88,99888889;87513,02812;1,087930805;280,2267163;0,761926773;0,045221722;0,072930963;0,172734636;18009,04915;0,222995067;9,357895907;21,26114321;0,9;95771229,15;0;786,8427802;788,1623577;0,927861189;1039,679068;3718,666711;24,94344724;0,970731783;0,97065007;0,9;28,9902952;0,859196103;0,169139901;0,119680304;1,214271173;1039,679068;12514,21057;31,25860523;0,841853445;0,258677291;0,179340804;1,214271173;3718,666711;1465,831245;154964,4454;1039,679068;18,90260106;-14873,37517;-64,24324423;11906,05342;100,6527277;0,68614995;0,169139901;17,45241214;720,5721072;0,024152428;-1;1;994,8941775;0,021569631;27960,08364;2902470,53;122,4440244;0,019697842;6573,100317;0,153063571;12514,21057;1465,831245;1296270,82;1484199,405;-168188,4201;154964,4454;0,68614995;1,955149227;3160;16,15730601;0,071093143;113,3015487;0,596557389;16,84868995;176668,7722;173467,2732;10295,59413
9;climb_3;180,5792434;1456,132378;0,265938384;88,99888889;85015,62964;1,062722056;278,6873023;0,779805844;0,046069617;0,075352042;0,172615012;18003,06506;0,219086335;9,357623311;21,24776736;0,9;95367620,83;0;786,2064543;787,5361596;0,923950907;1039,679068;3718,666711;25,16040926;0,970731783;0,97065007;0,9;29,00339012;0,859166267;0,169737098;0,1200987;1,214271173;1039,679068;12266,97552;31,40502795;0,840354045;0,264813356;0,183267938;1,214271173;3718,666711;1463,220498;154964,4454;1039,679068;18,92179407;-14876,43663;-64,24324423;11671,23861;100,6734455;0,688042419;0,169737098;17,12001089;718,9135367;0,024193233;-1;1;977,1138205;0,021610353;27460,39203;2851339,635;122,5525054;0,018225256;6573,100317;0,149494726;12266,97552;1463,220498;1270705,372;1458244,636;-168188,4201;154964,4454;0,688042419;1,944957618;3160;15,9775079;0,082758677;132,2112666;0,6927044;16,92668391;176610,0683;173424,0098;10245,59865
