time;total_energy_consumption;power;emotor_efficiency;power_propeller_turboprop;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
0;0;3452981,106;0,971240309;1399587,886;38903,44201;0;0,85159721;0;0;0,85159721;213,0083226
16,25294939;55702272,97;3427210,141;0,971240309;1386702,404;38629,79752;116,025756;0,85162769;41637,27223;13,66604004;0,85162769;214,7056691
48,75884818;109754129,5;3376437,311;0,971240309;1361315,989;38090,0392;344,6294128;0,851686974;41020,43169;40,67045829;0,851686974;217,9114119
65,01179757;54470736,24;3351437,018;0,971240309;1348815,842;37823,95663;457,2;0,851715891;40716,70243;54,01148231;0,851715891;219,4251209
65,01179757;0;3361041,588;0,971240309;1353618,127;36588,84792;457,2;0,856842582;0;54,01148231;0,856842582;219,4495139
83,8696317;62542164,19;3316508,341;0,971240309;1331351,503;36133,19108;652,9530271;0,856894457;38603,45193;69,34448942;0,856894457;221,1344592
121,5853;121762516,9;3228433,231;0,971240309;1287313,949;35230,69352;1034,003219;0,85699404;37578,27638;99,38238411;0,85699404;224,2927267
140,4431341;60046096,75;3184145,986;0,971240309;1265170,326;34776,51356;1219,2;0,857043047;37062,78226;114,0928698;0,857043047;225,7729555
140,4431341;0;3192164,218;0,971240309;1269179,442;33823,75695;1219,2;0,860676776;0;114,0928698;0,860676776;225,7965435
165,4663143;78470564,39;3135914,93;0,971240309;1241054,798;33264,72256;1455,955265;0,860729158;35235,43911;133,3234409;0,860729158;227,6645265
215,5126747;151885556,8;3034897,155;0,971240309;1190545,911;32256,46202;1913,072892;0,860831468;34100,39376;170,8476942;0,860831468;231,1031181
240,535855;74728188,06;2986358,535;0,971240309;1166276,601;31770,77737;2133,6;0,860878434;33555,00919;189,1585984;0,860878434;232,6865114
240,535855;0;2995017,834;0,971240309;1170606,25;30779,28897;2133,6;0,864279242;0;189,1585984;0,864279242;232,7108385
259,015411;54712613,64;2960710,4;0,971240309;1153452,533;30448,38172;2289,95076;0,864304785;31973,11447;202,5156122;0,864304785;233,8255054
295,9745232;106947412,6;2893668,334;0,971240309;1119931,5;29800,67988;2594,83184;0,864349454;31249,11808;228,7812973;0,864349454;235,9283013
314,4540793;52836359,88;2859179,062;0,971240309;1102686,864;29467,43962;2743,2;0,864363881;30876,66374;241,6916063;0,864363881;236,9204992
314,4540793;0;2865527,767;0,971240309;1105861,217;28741,43171;2743,2;0,866478619;0;241,6916063;0,866478619;236,9354276
334,8004296;57552636,92;2828646,714;0,971240309;1087420,69;28395,17547;2900,384158;0,866478039;29625,26582;255,757607;0,866478039;237,9843971
