mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
climb_1;11084,09871;102,890848;14,875388;14,851962;168,18842;3139,389568;29,828;163,265845;2790,278774;4110,123104;1,06733;0;0;0;0;3906,581551;0,023426;0;4,922575;660,531083;0,023426;0;561,3;18,786909;791,795363;790,548437;0,283295;0,998425;1;0,970732;0,844859;0,249091
climb_1;10994,95204;102,100398;14,878518;14,854885;168,18842;3115,974191;29,828;163,265845;2769,970805;4081,202306;1,093525;0;0;0;0;3868,954419;0,023633;0;4,922575;655,848007;0,023633;0;560,545662;18,801178;791,360923;790,103924;0,283481;0,998412;1;0,970732;0,844699;0,249279
climb_1;10819,9195;100,548091;14,884398;14,860376;168,18842;3069,853409;29,828;163,265845;2729,953737;4024,262011;1,145116;0;0;0;0;3795,37905;0,024022;0;4,922575;646,623851;0,024022;0;559,059842;18,829139;790,49804;789,222242;0,283841;0,998386;1;0,970732;0,844371;0,249645
climb_1;10734,02845;99,786189;14,887159;14,862954;168,18842;3047,149653;29,828;163,265845;2710,246706;3996,24417;1,17051;0;0;0;0;3759,422307;0,024205;0;4,922575;642,0831;0,024205;0;558,328413;18,842845;790,069595;788,785027;0,284016;0,998374;1;0,970732;0,844204;0,249822
climb_2;10749,91786;108,899461;14,887173;14,862968;168,18842;3055,874186;29,828;163,265845;2738,030295;4011,466574;1,170603;0;0;0;0;3760,477956;0,024206;0;4,922575;643,828006;0,024206;0;558,328413;18,842863;790,069595;788,784977;0,284166;0,998374;1;0,970732;0,850547;0,251803
climb_2;10601,49253;107,464155;14,890151;14,865749;168,18842;3015,399309;29,828;163,265845;2702,763161;3962,8669;1,214793;0;0;0;0;3699,647683;0,024403;0;4,922575;635,733031;0,024403;0;557,055551;18,858104;789,588992;788,294962;0,284363;0,998361;1;0,970732;0,850282;0,252033
climb_2;10312,55317;104,669786;14,89571;14,87094;168,18842;2935,393913;29,828;163,265845;2633,055452;3867,713143;1,300745;0;0;0;0;3582,987151;0,024771;0;4,922575;619,731952;0,024771;0;554,579394;18,887956;788,635378;787,323916;0,284646;0,998337;1;0,970732;0,84974;0,252399
climb_2;10171,08552;103,262414;14,898305;14,873362;168,18842;2895,186984;29,828;163,265845;2598,056737;3821,378112;1,342488;0;0;0;0;3526,612354;0,024943;0;4,922575;611,690566;0,024943;0;553,376716;18,902584;788,162358;786,842827;0,284691;0,998326;1;0,970732;0,849468;0,252502
climb_3;10184,8537;111,010523;14,898319;14,873375;168,18842;2902,47053;29,828;163,265845;2618,873729;3834,226594;1,34258;0;0;0;0;3527,996514;0,024943;0;4,922575;613,147275;0,024943;0;553,376716;18,902601;788,162358;786,84278;0,284804;0,998326;1;0,970732;0,85424;0,253994
climb_3;10006,33018;109,077782;14,901597;14,876437;168,18842;2851,339635;29,828;163,265845;2574,169378;3775,881612;1,396008;0;0;0;0;3456,962706;0,02516;0;4,922575;602,921096;0,02516;0;551,837302;18,921794;787,53616;786,206454;0,28483;0,998312;1;0,970732;0,853899;0,254106
