mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
climb_1;12202,1436;113,269372;44,831046;44,618038;345,402465;3452,981106;29,828;335,468797;3202,185538;4525,198778;1,06733;0;0;0;0;4306,337758;0,213008;0;9,933668;757,689981;0,213008;0;561,3;56,619486;791,795363;788,033261;0,282801;0,995249;1;0,97124;0,84525;0,259071
climb_1;12104,02882;112,3994;44,838212;44,623507;345,402465;3427,210141;29,828;335,468797;3179,661555;4493,369363;1,093519;0;0;0;0;4264,927193;0,214706;0;9,933668;752,535788;0,214706;0;560,545846;56,656767;791,400834;787,611248;0,282983;0,995212;1;0,97124;0,845053;0,259326
climb_1;11911,34119;110,690519;44,851747;44,633835;345,402465;3376,437311;29,828;335,468797;3135,233449;4430,687052;1,145109;0;0;0;0;4183,934236;0,217911;0;9,933668;742,381222;0,217911;0;559,06003;56,730074;790,616757;786,775559;0,283335;0,995142;1;0,97124;0,844642;0,259821
climb_1;11816,76204;109,851549;44,858138;44,638713;345,402465;3351,437018;29,828;335,468797;3113,331897;4399,835864;1,17051;0;0;0;0;4144,3422;0,219425;0;9,933668;737,381163;0,219425;0;558,328413;56,766127;790,227205;786,361782;0,283506;0,995108;1;0,97124;0,844429;0,260063
climb_2;11834,25421;119,88407;44,858241;44,638791;345,402465;3361,041588;29,828;335,468797;3143,429234;4416,594762;1,170603;0;0;0;0;4145,503325;0,21945;0;9,933668;739,302077;0,21945;0;558,328413;56,766257;790,227205;786,361361;0,283657;0,995108;1;0,97124;0,850377;0,261974
climb_2;11670,9456;118,304837;44,865354;44,64422;345,402465;3316,508341;29,828;335,468797;3104,282741;4363,123119;1,214769;0;0;0;0;4078,576209;0,221134;0;9,933668;730,395428;0,221134;0;557,05624;56,807602;789,777293;785,884602;0,283846;0,995071;1;0,97124;0,850028;0,262316
climb_2;11352,86019;115,228604;44,878688;44,654396;345,402465;3228,433231;29,828;335,468797;3026,74717;4258,373482;1,300721;0;0;0;0;3950,153364;0,224293;0;9,933668;712,780406;0,224293;0;554,58007;56,888821;788,88414;784,94149;0,284115;0,995002;1;0,97124;0,849279;0,262899
climb_2;11197,03547;113,678418;44,884938;44,659165;345,402465;3184,145986;29,828;335,468797;2987,727561;4207,337335;1,342488;0;0;0;0;3888,060083;0,225773;0;9,933668;703,922957;0,225773;0;553,376716;56,928729;788,440891;784,475003;0,284153;0,99497;1;0,97124;0,848879;0,263106
climb_3;11212,19242;122,208073;44,885037;44,659241;345,402465;3192,164218;29,828;335,468797;3010,276786;4221,482642;1,34258;0;0;0;0;3889,583057;0,225797;0;9,933668;705,526603;0,225797;0;553,376716;56,928855;788,440891;784,474598;0,284267;0,994969;1;0,97124;0,853342;0,26454
climb_3;11015,79903;120,081854;44,892924;44,665259;345,402465;3135,91493;29,828;335,468797;2960,523347;4157,299269;1,395968;0;0;0;0;3811,442714;0,227665;0;9,933668;694,276745;0,227665;0;551,838453;56,981118;787,856142;783,860704;0,284283;0,994929;1;0,97124;0,852837;0,264787
climb_3;10661,66365;116,283413;44,907442;44,676338;345,402465;3034,897155;29,828;335,468797;2870,789279;4041,554827;1,499027;0;0;0;0;3670,16805;0,231103;0;9,933668;674,07319;0,231103;0;548,868759;57,083436;786,698294;782,64978;0,284351;0,994854;1;0,97124;0,851774;0,265253
climb_3;10492,05669;114,457498;44,914127;44,68144;345,402465;2986,358535;29,828;335,468797;2827,563885;3985,896384;1,548739;0;0;0;0;3602,882528;0,232687;0;9,933668;664,365466;0,232687;0;547,436243;57,133556;786,125173;782,052496;0,284371;0,994819;1;0,97124;0,851207;0,265463
climb_4;10507,92509;124,150277;44,914229;44,681518;345,402465;2995,017834;29,828;335,468797;2850,162159;4001,648809;1,548863;0;0;0;0;3604,031857;0,232711;0;9,933668;666,097326;0,232711;0;547,436243;57,133687;786,125173;782,05208;0,284502;0,994819;1;0,97124;0,855779;0,266944
climb_4;10388,31134;122,752404;44,918935;44,68511;345,402465;2960,7104;29,828;335,468797;2819,520147;3962,229659;1,584106;0;0;0;0;3556,711575;0,233826;0;9,933668;659,235839;0,233826;0;546,420668;57,170274;785,704397;781,614413;0,284513;0,994795;1;0,97124;0,85539;0,267102
climb_4;10155,38945;120,033739;44,927813;44,691885;345,402465;2893,668334;29,828;335,468797;2759,542957;3885,082144;1,652824;0;0;0;0;3465,191886;0,235928;0;9,933668;645,827426;0,235928;0;544,44046;57,242426;784,869131;780,747568;0,284513;0,994749;1;0,97124;0,854576;0,267388
climb_4;10039,8891;118,689823;44,932002;44,695082;345,402465;2859,179062;29,828;335,468797;2728,684908;3846,483336;1,686264;0;0;0;0;3421,402261;0,236921;0;9,933668;638,929572;0,236921;0;543,476874;57,278013;784,454631;780,318305;0,284391;0,994727;1;0,97124;0,854143;0,267426
climb_5;10052,03104;126,389381;44,932065;44,69513;345,402465;2865,527767;29,828;335,468797;2744,257447;3858,878699;1,686376;0;0;0;0;3422,499578;0,236935;0;9,933668;640,199313;0,236935;0;543,476874;57,278093;784,454631;780,31805;0,28446;0,994727;1;0,97124;0,857313;0,26843
