mission_phase,B_Fuel_kW,B_Eng_Air_kW,W_Bat_Power_out_kW,W_Electric_Motor_in_kW,W_Mec_Engine_out_kW,W_Mec_Hydraulic_Electric_MT_kW,W_Mec_Motor_out_kW,B_Thrust_kW,B_Eng_Gases_kW,B_Bleed_MT_kW,B_Bat_Heat_kW,B_Inverter_Heat_kW,B_Motor_Heat_kW,B_Prop_Air_kW,B_Dest_Engine_kW,B_Dest_Bat_kW,B_Dest_Inverter_kW,B_Dest_Motor_kW,B_Dest_Prop_kW,P_dissipada_Bat_kW,P_loss_Inv_kW,T0_env_K,I_bat_A,Voc_bat_V,Vload_bat_V,eta_ex_engine,eta_ex_bat,eta_ex_inverter,eta_ex_motor,eta_ex_prop
climb_1,11084.098705,102.890848,14.851962,168.188420,1604.462876,29.828000,163.265845,1330.476108,4110.123104,1.067330,0,0,0,170.379921,5441.508243,0.023426,0.000000,4.922575,266.872692,0.023426,0.000000,561.300000,18.786909,791.795363,790.548437,0.146089,0.998425,1,0.970732,0.752647
climb_1,10994.952042,102.100398,14.854885,168.188420,1592.576897,29.828000,163.265845,1320.374377,4081.202306,1.093525,0,0,0,170.318711,5392.351713,0.023633,0.000000,4.922575,265.149654,0.023633,0.000000,560.545662,18.801178,791.360923,790.103924,0.146201,0.998412,1,0.970732,0.751989
climb_1,10819.919496,100.548091,14.860376,168.188420,1569.165333,29.828000,163.265845,1300.472373,4024.262011,1.145116,0,0,0,170.205300,5296.067126,0.024022,0.000000,4.922575,261.753505,0.024022,0.000000,559.059842,18.829139,790.498040,789.222242,0.146422,0.998386,1,0.970732,0.750663
climb_1,10734.028450,99.786189,14.862954,168.188420,1557.640584,29.828000,163.265845,1290.673069,3996.244170,1.170510,0,0,0,170.153029,5248.931376,0.024205,0.000000,4.922575,260.080330,0.024205,0.000000,558.328413,18.842845,790.069595,788.785027,0.146529,0.998374,1,0.970732,0.749996
climb_2,10749.917859,108.899461,14.862968,168.188420,1562.069281,29.828000,163.265845,1303.930131,4011.466574,1.170603,0,0,0,171.066132,5254.282861,0.024206,0.000000,4.922575,250.338863,0.024206,0.000000,558.328413,18.842863,790.069595,788.784977,0.146600,0.998374,1,0.970732,0.755755
climb_2,10601.492529,107.464155,14.865749,168.188420,1541.523658,29.828000,163.265845,1286.385516,3962.866900,1.214793,0,0,0,170.963487,5173.523334,0.024403,0.000000,4.922575,247.440500,0.024403,0.000000,557.055551,18.858104,789.588992,788.294962,0.146732,0.998361,1,0.970732,0.754571
climb_2,10312.553165,104.669786,14.870940,168.188420,1500.911782,29.828000,163.265845,1251.714818,3867.713143,1.300745,0,0,0,170.780168,5017.469282,0.024771,0.000000,4.922575,241.682641,0.024771,0.000000,554.579394,18.887956,788.635378,787.323916,0.146943,0.998337,1,0.970732,0.752152
climb_2,10171.085524,103.262414,14.873362,168.188420,1480.502173,29.828000,163.265845,1234.309301,3821.378112,1.342488,0,0,0,170.696948,4941.297165,0.024943,0.000000,4.922575,238.761769,0.024943,0.000000,553.376716,18.902584,788.162358,786.842827,0.147000,0.998326,1,0.970732,0.750902
climb_3,10184.853695,111.010523,14.873375,168.188420,1484.199405,29.828000,163.265845,1244.208188,3834.226594,1.342580,0,0,0,171.287534,4946.267639,0.024943,0.000000,4.922575,231.969527,0.024943,0.000000,553.376716,18.902601,788.162358,786.842780,0.147052,0.998326,1,0.970732,0.755226
climb_3,10006.330178,109.077782,14.876437,168.188420,1458.244636,29.828000,163.265845,1221.972190,3775.881612,1.396008,0,0,0,171.174917,4850.057705,0.025160,0.000000,4.922575,228.363374,0.025160,0.000000,551.837302,18.921794,787.536160,786.206454,0.147110,0.998312,1,0.970732,0.753601
