mission_phase,B_Fuel_kW,B_Eng_Air_kW,W_Bat_Power_out_kW,W_Electric_Motor_in_kW,W_Mec_Engine_out_kW,W_Mec_Hydraulic_Electric_MT_kW,W_Mec_Motor_out_kW,B_Thrust_kW,B_Eng_Gases_kW,B_Bleed_MT_kW,B_Bat_Heat_kW,B_Inverter_Heat_kW,B_Motor_Heat_kW,B_Prop_Air_kW,B_Dest_Engine_kW,B_Dest_Bat_kW,B_Dest_Inverter_kW,B_Dest_Motor_kW,B_Dest_Prop_kW,P_dissipada_Bat_kW,P_loss_Inv_kW,T0_env_K,I_bat_A,Voc_bat_V,Vload_bat_V,eta_ex_engine,eta_ex_bat,eta_ex_inverter,eta_ex_motor,eta_ex_prop
climb_1,10681.526789,99.153876,26.165248,227.842492,1546.189152,29.828000,221.252685,1282.771800,3960.667737,1.067330,0,0,0,220.714179,5242.928445,0.072830,0.000000,6.589806,263.955858,0.072830,0.000000,561.300000,33.137449,791.795363,789.597540,0.146189,0.997224,1,0.971077,0.725779
climb_1,10595.573948,98.391745,26.169883,227.842492,1534.728997,29.828000,221.252685,1273.020443,3932.782802,1.093538,0,0,0,220.710302,5195.532355,0.073541,0.000000,6.589806,262.250937,0.073541,0.000000,560.545275,33.164516,791.310310,789.092864,0.146303,0.997198,1,0.971077,0.724962
climb_1,10426.897713,96.895810,26.178524,227.842492,1512.167604,29.828000,221.252685,1253.813088,3877.909712,1.145129,0,0,0,220.712485,5102.743077,0.074865,0.000000,6.589806,258.894717,0.074865,0.000000,559.059446,33.217517,790.347726,788.093956,0.146525,0.997148,1,0.971077,0.723317
climb_1,10344.170984,96.161978,26.182552,227.842492,1501.067435,29.828000,221.252685,1244.358333,3850.923810,1.170510,0,0,0,220.718428,5057.343207,0.075482,0.000000,6.589806,257.243360,0.075482,0.000000,558.328413,33.243480,789.870189,787.599614,0.146633,0.997125,1,0.971077,0.722490
climb_2,10359.483314,104.944258,26.182590,227.842492,1505.335283,29.828000,221.252685,1256.740075,3865.592981,1.170603,0,0,0,221.649911,5062.500705,0.075488,0.000000,6.589806,248.197982,0.075488,0.000000,558.328413,33.243535,789.870189,787.599444,0.146703,0.997125,1,0.971077,0.727875
climb_2,10216.366055,103.560280,26.186735,227.842492,1485.524321,29.828000,221.252685,1239.793006,3818.730904,1.214818,0,0,0,221.643425,4984.628292,0.076123,0.000000,6.589806,245.340575,0.076123,0.000000,557.054813,33.271204,789.357007,787.069056,0.146838,0.997102,1,0.971077,0.726394
climb_2,9937.917688,100.867358,26.194438,227.842492,1446.386695,29.828000,221.252685,1206.300651,3727.031100,1.300771,0,0,0,221.654025,4834.238479,0.077303,0.000000,6.589806,239.684703,0.077303,0.000000,554.578635,33.325421,788.339371,786.019724,0.147051,0.997058,1,0.971077,0.723358
climb_2,9801.674033,99.511947,26.198017,227.842492,1426.730674,29.828000,221.252685,1189.483985,3682.406642,1.342488,0,0,0,221.668073,4760.878176,0.077852,0.000000,6.589806,236.831301,0.077852,0.000000,553.376716,33.351998,787.834906,785.500665,0.147110,0.997037,1,0.971077,0.721782
climb_3,9814.942131,106.978646,26.198049,227.842492,1430.293623,29.828000,221.252685,1198.711215,3694.788173,1.342580,0,0,0,222.209748,4765.668401,0.077857,0.000000,6.589806,230.625345,0.077857,0.000000,553.376716,33.352046,787.834906,785.500518,0.147161,0.997037,1,0.971077,0.725811
climb_3,9642.755058,105.114521,26.202572,227.842492,1405.260227,29.828000,221.252685,1177.199146,3638.513516,1.396057,0,0,0,222.216485,4672.871779,0.078550,0.000000,6.589806,227.097282,0.078550,0.000000,551.835893,33.387064,787.164781,784.812086,0.147221,0.997011,1,0.971077,0.723756
climb_3,9332.757609,101.789500,26.210802,227.842492,1360.373018,29.828000,221.252685,1138.515227,3537.189648,1.499115,0,0,0,222.302590,4505.657328,0.079811,0.000000,6.589806,220.807886,0.079811,0.000000,548.866241,33.455428,785.839992,783.454405,0.147352,0.996964,1,0.971077,0.719839
climb_3,9184.548861,100.193939,26.214551,227.842492,1338.842648,29.828000,221.252685,1119.938977,3488.550983,1.548739,0,0,0,222.364739,4425.972430,0.080385,0.000000,6.589806,217.791617,0.080385,0.000000,547.436243,33.488830,785.185292,782.784930,0.147411,0.996943,1,0.971077,0.717866
climb_4,9198.439755,108.678814,26.214584,227.842492,1342.690459,29.828000,221.252685,1129.095351,3502.339097,1.548863,0,0,0,222.689672,4430.712151,0.080390,0.000000,6.589806,212.158121,0.080390,0.000000,547.436243,33.488878,785.185292,782.784784,0.147470,0.996943,1,0.971077,0.721954
climb_4,9093.582997,107.453403,26.217233,227.842492,1327.424011,29.828000,221.252685,1115.873713,3467.781398,1.584156,0,0,0,222.722387,4374.418835,0.080796,0.000000,6.589806,210.080596,0.080796,0.000000,546.419220,33.513465,784.700413,782.289553,0.147511,0.996928,1,0.971077,0.720534
climb_4,8889.682100,105.073480,26.222192,227.842492,1297.632450,29.828000,221.252685,1090.054234,3400.242291,1.652875,0,0,0,222.803781,4265.399963,0.081556,0.000000,6.589806,206.027121,0.081556,0.000000,544.438985,33.561866,783.739140,781.309116,0.147582,0.996899,1,0.971077,0.717667
climb_4,8788.729881,103.898836,26.224514,227.842492,1282.329696,29.828000,221.252685,1076.800142,3366.503687,1.686264,0,0,0,222.843760,4212.281070,0.081912,0.000000,6.589806,203.938479,0.081912,0.000000,543.476874,33.585699,783.262729,780.823833,0.147556,0.996886,1,0.971077,0.716156
climb_5,8799.358718,110.638885,26.224534,227.842492,1285.150781,29.828000,221.252685,1083.061546,3377.353307,1.686376,0,0,0,222.901469,4215.979139,0.081915,0.000000,6.589806,200.440451,0.081915,0.000000,543.476874,33.585728,783.262729,780.823746,0.147585,0.996886,1,0.971077,0.718972
climb_5,8692.201822,109.312258,26.227002,227.842492,1268.729497,29.828000,221.252685,1068.801796,3341.376108,1.721874,0,0,0,222.929892,4159.858601,0.082293,0.000000,6.589806,198.250494,0.082293,0.000000,542.454028,33.611953,782.736264,780.287934,0.147538,0.996872,1,0.971077,0.717325
climb_5,8485.910811,106.748400,26.231607,227.842492,1237.044285,29.828000,221.252685,1041.265976,3271.952370,1.790541,0,0,0,223.004510,4052.044014,0.082999,0.000000,6.589806,194.026485,0.082999,0.000000,540.475500,33.663577,781.693692,779.228153,0.147437,0.996846,1,0.971077,0.714029
climb_5,8389.493281,105.549794,26.233758,227.842492,1222.212159,29.828000,221.252685,1028.358215,3239.527947,1.823766,0,0,0,223.055588,4001.651204,0.083328,0.000000,6.589806,192.051042,0.083328,0.000000,539.518263,33.688995,781.177560,778.704097,0.147385,0.996834,1,0.971077,0.712423
climb_6,8398.933205,112.418780,26.233775,227.842492,1224.861363,29.828000,221.252685,1033.894226,3250.135733,1.823896,0,0,0,222.920875,4004.702993,0.083331,0.000000,6.589806,189.298948,0.083331,0.000000,539.518263,33.689020,781.177560,778.704021,0.147414,0.996834,1,0.971077,0.714947
climb_6,8303.319840,111.158656,26.236083,227.842492,1210.145390,29.828000,221.252685,1021.041836,3218.150487,1.859391,0,0,0,222.977649,3954.495227,0.083685,0.000000,6.589806,187.378591,0.083685,0.000000,538.495668,33.717307,780.601139,778.119186,0.147362,0.996820,1,0.971077,0.713318
climb_6,8117.419220,108.712563,26.240380,227.842492,1181.537625,29.828000,221.252685,996.036232,3155.573586,1.928083,0,0,0,223.103337,3857.264489,0.084343,0.000000,6.589806,183.650742,0.084343,0.000000,536.516893,33.772975,779.461201,776.963841,0.147258,0.996796,1,0.971077,0.710039
climb_6,8026.828606,107.522880,26.242384,227.842492,1167.612010,29.828000,221.252685,983.855011,3124.872516,1.961291,0,0,0,223.171235,3810.077670,0.084650,0.000000,6.589806,181.838449,0.084650,0.000000,535.560409,33.800377,778.897645,776.393226,0.147208,0.996785,1,0.971077,0.708388
climb_7,8037.762768,114.686234,26.242398,227.842492,1170.496039,29.828000,221.252685,989.123824,3136.423100,1.961445,0,0,0,222.846281,3813.740417,0.084652,0.000000,6.589806,179.778620,0.084652,0.000000,535.560409,33.800398,778.897645,776.393163,0.147235,0.996785,1,0.971077,0.710706
climb_7,7940.605655,113.322231,26.244577,227.842492,1155.608055,29.828000,221.252685,976.077321,3103.381212,1.997135,0,0,0,222.906225,3763.113485,0.084986,0.000000,6.589806,177.877194,0.084986,0.000000,534.532538,33.831337,778.259626,775.747565,0.147187,0.996772,1,0.971077,0.708915
climb_7,7751.576572,110.675294,26.248627,227.842492,1126.562337,29.828000,221.252685,950.604789,3038.608362,2.065834,0,0,0,223.032165,3665.187333,0.085607,0.000000,6.589806,174.178068,0.085607,0.000000,532.554269,33.892190,777.000081,774.474219,0.147081,0.996749,1,0.971077,0.705293
climb_7,7660.450122,109.401446,26.250514,227.842492,1112.519617,29.828000,221.252685,938.279269,3007.201400,2.098864,0,0,0,223.099393,3618.203687,0.085896,0.000000,6.589806,172.393641,0.085896,0.000000,531.603311,33.922128,776.378495,773.846338,0.147023,0.996739,1,0.971077,0.703478
