segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;temperature_C;mdot_fuel_kg_s;mdot_air_kg_s;AFR_esteq;AFR_real_adjusted;excesso_ar;phi;B_Fuel_kW;B_Air_kW;W_Mec_Engine_kW;W_Mec_Hydraulic_kW;W_Electric_kW_aux_engine;W_Aux_Engine_kW;mdot_bleed_kg_s;P_bleed_Pa;T_estag_bleed_K;P_estag_bleed_Pa;T_bleed_K;B_Bleed_kW;B_Perda_Dest_Engine_kW;P_mec_MTRB_kW;eta_emotor_MTRB;W_Entrada_CT_kW;W_Gearbox_out_kW;B_Perda_Dest_Gearbox_kW;W_Prop_SysTermico_in_kW;thrust_turboprop_N;B_Thrust_Engine_kW;B_Perda_Dest_Prop_SysTermico_kW;B_Quim_Bat_kW;W_Bat_Power_kW;Q_Bat_Heat_kW;B_Bat_Heat_kW;B_Dest_Bat_kW;Ex_inverter_in_kW;Ex_inverter_out_kW;Q_heat_inverter_kW;B_Inverter_Heat_kW;B_Dest_Inverter_kW;eta_ex_inverter;W_El_MTRB_in_kW;W_El_MTRB_out_kW;P_loss_Motor_MTRB_kW;B_Motor_MTRB_Heat_kW;B_Dest_Motor_MTRB_kW;W_El_WTP_in_kW;P_mec_WTPmotor_kW;P_loss_Motor_WTP_kW;B_Motor_WTP_Heat_kW;B_Dest_Motor_WTP_kW;B_Thrust_Motor_WTP_kW;B_Perda_Dest_WTP_kW;B_Thrust_Total_kW;eta_ex_engine;eta_ex_gearbox;eta_ex_prop_SysTermico;eta_ex_bat;eta_ex_motor_MTRB;eta_ex_motor_WTP;eta_ex_prop_WTP;eta_ex_total
climb_1;0;0;0,241882353;82,31111111;101325;288,15;0,242683833;10,3018283;13,39410029;42,44958625;2,169274929;0,321968963;11084,0987;71,56527607;1604,462876;14,914;14,914;29,828;0,10394825;172369,7;1002,290647;19,10966378;13522,37801;1267,423519;8253,949586;168,1884201;0,970731783;1772,651296;1737,19827;35,45302592;1737,19827;14592,79962;1201,149551;536,0487193;14,87696889;14,85196167;0,023425894;0,001122109;0,020951975;15,63364386;14,85196167;0,781682193;0,102508229;0,679173964;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;191,2994519;185,6848264;5,614625523;1,410178456;4,204447067;129,3265573;56,35826909;1330,476108;0,260111312;0,98;0,691429166;0,952915557;0,970731783;0,97065007;0,696484251;0,235551005
climb_1;18,03814823;116,0541425;0,242199584;82,31111111;99938,59432;287,3956618;0,240731987;10,21406595;13,39410029;42,42920134;2,167752997;0,322123652;10994,95204;59,1933812;1592,576897;14,914;14,914;29,828;0,10394825;172369,7;1001,408053;18,9468657;13543,53684;1269,585241;8162,155285;168,1884201;0,970731783;1760,765317;1725,550011;35,21530634;1725,550011;14471,34305;1191,152326;534,3976851;14,87696889;14,85488488;0,023633059;0,001132032;0,020951975;15,63672093;14,85488488;0,781836046;0,102528405;0,679307642;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;191,4541621;185,8349959;5,619166257;1,411318914;4,207847343;129,2220511;56,61294479;1320,374377;0,261620417;0,98;0,690302986;0,952915557;0,970731783;0,97065007;0,695359076;0,236677416
climb_1;54,11444468;344,6583493;0,242828101;82,31111111;97252,70971;285,9098419;0,236899689;10,04196573;13,39410029;42,38910474;2,164759396;0,322428354;10819,9195;35,38790503;1569,165333;14,914;14,914;29,828;0,10394825;172369,7;999,6696462;18,62619665;13586,12402;1273,936451;7982,377617;168,1884201;0,970731783;1737,353753;1702,606678;34,74707506;1702,606678;14232,14151;1171,463381;531,1432969;14,88149763;14,86037557;0,024022179;0,001150671;0,019971385;15,6425006;14,86037557;0,78212503;0,102566301;0,679558729;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;191,7703498;186,1419034;5,628446341;1,413649715;4,214796626;129,0089921;57,13291134;1300,472373;0,264656695;0,98;0,688041106;0,95298065;0,970731783;0,97065007;0,693067975;0,239576041
climb_1;72,15259291;457,2;0,243139306;82,31111111;95952,1631;285,1784132;0,235019124;9,957618182;13,39410029;42,36939536;2,163287899;0,322578341;10734,02845;23,9423617;1557,640584;14,914;14,914;29,828;0,10394825;172369,7;998,8138962;18,4683373;13607,54425;1276,125111;7894,377117;168,1884201;0,970731783;1725,829004;1691,312424;34,51658008;1691,312424;14114,40672;1161,7725;529,5399242;14,88578797;14,86295394;0,024204905;0,001159424;0,02167461;15,64521467;14,86295394;0,782260734;0,102584097;0,679676636;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;191,9316544;186,2984738;5,633180622;1,414838785;4,218341837;128,9005692;57,39790457;1290,673069;0,266183442;0,98;0,68690591;0,952866051;0,970731783;0,97065007;0,691903517;0,241034136
climb_2;72,15259291;457,2;0,25377665;85,91222222;95952,1631;285,1784132;0,235367019;9,974978807;13,39410029;42,38052914;2,164119144;0,322493597;10749,91786;30,02624966;1562,069281;14,914;14,914;29,828;0,10394825;172369,7;999,2067978;18,50255196;13605,70005;1275,936672;7912,110155;168,1884201;0,970731783;1730,257701;1695,652547;34,60515402;1695,652547;13662,31797;1173,760097;521,8924496;14,88578797;14,86296762;0,024205875;0,00115947;0,021660884;15,64522907;14,86296762;0,782261454;0,102584192;0,679677262;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;190,0598695;184,4816256;5,578243864;1,40104078;4,177203085;130,1700332;54,31159237;1303,930131;0,266034214;0,98;0,692217341;0,95286697;0,970731783;0,97065007;0,705598906;0,241754139
climb_2;92,48729672;653,0591224;0,254344905;85,91222222;93722,49317;283,9055508;0,23211728;9,829239456;13,39410029;42,34600481;2,161541567;0,322756523;10601,49253;10,41376005;1541,523658;14,914;14,914;29,828;0,10394825;172369,7;997,7143908;18,22496056;13644,18104;1279,868735;7760,685897;168,1884201;0,970731783;1709,712078;1675,517837;34,19424156;1675,517837;13460,17317;1156,393389;519,124448;14,88867961;14,86574851;0,024402954;0,00116891;0,02176219;15,64815633;14,86574851;0,782407816;0,102603385;0,679804431;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;190,3199825;184,7341043;5,585878163;1,402958223;4,182919941;129,992128;54,74197631;1286,385516;0,268681264;0,98;0,690170742;0,95285983;0,970731783;0,97065007;0,70367152;0,244295882
climb_2;133,1567043;1034,10719;0,255461382;85,91222222;89505,1896;281,4293941;0,225791018;9,546374449;13,39410029;42,2796909;2,156590587;0,323262753;10312,55317;26,194913;1500,911782;14,914;14,914;29,828;0,10394825;172369,7;994,787343;17,68240687;13722,13065;1287,834536;7520,17376;168,1884201;0,970731783;1669,100202;1635,718198;33,38200404;1635,718198;13060,87742;1122,089003;513,6291948;14,89297204;14,87093951;0,024770835;0,001186532;0,020845999;15,65362054;14,87093951;0,782681027;0,102639214;0,680041813;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;190,8578127;185,2561493;5,601663444;1,406922879;4,194740564;129,625815;55,63033426;1251,714818;0,2726224;0,98;0,685991636;0,952920609;0,970731783;0,97065007;0,699711268;0,248161718
climb_2;153,4914082;1219,2;0,25600899;85,91222222;87513,02812;280,2267163;0,222693616;9,404829627;13,39410029;42,23214745;2,153041006;0,323626671;10171,08552;43,21975094;1480,502173;14,914;14,914;29,828;0,10394825;172369,7;993,4345819;17,42301481;13761,45354;1291,85339;7412,121712;168,1884201;0,970731783;1648,690593;1615,716781;32,97381186;1615,716781;12860,46546;1104,871166;510,8456148;14,897018;14,87336247;0,024942547;0,001194757;0,022460772;15,65617102;14,87336247;0,782808551;0,102655937;0,680152614;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;191,1345493;185,5247637;5,609785643;1,408962864;4,200822779;129,4381346;56,08662905;1234,309301;0,274339124;0,98;0,683827252;0,952812063;0,970731783;0,97065007;0,697686563;0,249871947
climb_3;153,4914082;1219,2;0,265206918;88,99888889;87513,02812;280,2267163;0,222995067;9,421246872;13,39410029;42,2486784;2,154275203;0,323500043;10184,8537;38,20926882;1484,199405;14,914;14,914;29,828;0,10394825;172369,7;993,7221072;17,45241214;13758,80764;1291,582967;7417,452591;168,1884201;0,970731783;1652,387825;1619,340069;33,0477565;1619,340069;12514,21057;1113,750836;505,5892325;14,897018;14,87337517;0,024943447;0,0011948;0,022448029;15,65618439;14,87337517;0,782809219;0,102656025;0,680153195;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;189,6412821;184,0753237;5,565958354;1,397955131;4,168003223;130,4573521;53,6179716;1244,208188;0,274439313;0,98;0,687780694;0,952812915;0,970731783;0,97065007;0,708717222;0,25059867
climb_3;180,5792434;1456,132378;0,265938384;88,99888889;85015,62964;278,6873023;0,219086335;9,240496493;13,39410029;42,17742057;2,148955112;0,324046589;10006,33018;59,41280762;1458,244636;14,914;14,914;29,828;0,10394825;172369,7;992,0635367;17,12001089;13811,51934;1296,970552;7280,699798;168,1884201;0,970731783;1626,433056;1593,904395;32,52866112;1593,904395;12266,97552;1091,747191;502,1572037;14,89998433;14,87643663;0,025160409;0,001205193;0,022342507;15,65940698;14,87643663;0,782970349;0,102677155;0,680293194;0,95;173,2594142;0;5,070994133;1,273639114;3,797355019;189,9796491;184,4037597;5,575889403;1,400449429;4,175439974;130,2249985;54,1787612;1221,97219;0,276685307;0,98;0,684951491;0,952819616;0,970731783;0,97065007;0,706194921;0,252838113
