time;total_energy_consumption;power;emotor_efficiency;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
0;0;3452981,106;0,971240309;38903,44201;0;0,85159721;;0;0,85159721;213,0083226
16,25294939;728695,5;3427210,141;0,971240309;38629,79752;116,025756;0,85162769;544,6975732;13,66604004;0,85162769;214,7056691
48,75884818;1457729,1;3376437,311;0,971240309;38090,0392;344,6294128;0,851686974;363,2159583;40,67045829;0,851686974;217,9114119
65,01179757;729025,5;3351437,018;0,971240309;37823,95663;457,2;0,851715891;136,2360618;54,01148231;0,851715891;219,4251209
65,01179757;0;3361041,588;0,971240309;36588,84792;457,2;0,856842582;0;54,01148231;0,856842582;219,4495139
83,8696317;845997;3316508,341;0,971240309;36133,19108;652,9530271;0,856894457;121,3540626;69,34448942;0,856894457;221,1344592
121,5853;1692381,8;3228433,231;0,971240309;35230,69352;1034,003219;0,85699404;165,7321397;99,38238411;0,85699404;224,2927267
140,4431341;846374,2;3184145,986;0,971240309;34776,51356;1219,2;0,857043047;71,53465333;114,0928698;0,857043047;225,7729555
140,4431341;0;3192164,218;0,971240309;33823,75695;1219,2;0,860676776;0;114,0928698;0,860676776;225,7965435
165,4663143;1123266,5;3135914,93;0,971240309;33264,72256;1455,955265;0,860729158;79,89830627;133,3234409;0,860729158;227,6645265
215,5126747;2247097,1;3034897,155;0,971240309;32256,46202;1913,072892;0,860831468;121,3809045;170,8476942;0,860831468;231,1031181
240,535855;1123811,5;2986358,535;0,971240309;31770,77737;2133,6;0,860878434;54,18620562;189,1585984;0,860878434;232,6865114
240,535855;0;2995017,834;0,971240309;30779,28897;2133,6;0,864279242;0;189,1585984;0,864279242;232,7108385
259,015411;830038,9;2960710,4;0,971240309;30448,38172;2289,95076;0,864304785;36,9711082;202,5156122;0,864304785;233,8255054
295,9745232;1660330,1;2893668,334;0,971240309;29800,67988;2594,83184;0,864349454;64,17124386;228,7812973;0,864349454;235,9283013
314,4540793;830285;2859179,062;0,971240309;29467,43962;2743,2;0,864363881;30,09954575;241,6916063;0,864363881;236,9204992
314,4540793;0;2865527,767;0,971240309;28741,43171;2743,2;0,866478619;0;241,6916063;0,866478619;236,9354276
334,8004296;914249;2828646,714;0,971240309;28395,17547;2900,384158;0,866478039;30,96281349;255,757607;0,866478039;237,9843971
375,4931302;1828759,1;2757337,996;0,971240309;27724,55335;3205,075668;0,866469015;54,73245766;283,3779854;0,866469015;239,9576288
395,8394805;914503,3;2723887,657;0,971240309;27409,19337;3352,8;0,866465894;25,86602505;296,9463559;0,866465894;240,8862859
395,8394805;0;2729849,554;0,971240309;26720,01548;3352,8;0,868104279;0;296,9463559;0,868104279;240,8995694
