time;total_energy_consumption;power;emotor_efficiency;power_propeller_turboprop;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
3154,507325;10184538,72;184820,5182;0;184820,5182;1240,356116;2285,871413;0,4;1995,901924;1624,269034;0,4;0
3182,059835;5453844,413;197943,6506;0;197943,6506;1308,088729;2133,6;0,4;2137,620417;1631,228952;0,4;0
3182,059835;0;194820,5571;0;194820,5571;1348,993814;2133,6;0,4;0;1631,228952;0,4;0
3226,071682;9249192,815;210152,3441;0;210152,3441;1431,419696;1903,752793;0,4;2361,291773;1642,684957;0,4;0
3314,095376;19978223,18;226964,1533;0;226964,1533;1520,835012;1446,411583;0,4;2550,190863;1666,338701;0,4;0
3358,107223;10499840,58;238568,5059;0;238568,5059;1583,614402;1219,2;0,4;2680,578475;1678,585717;0,4;0
3358,107223;0;1016415,413;0;1016415,413;11027,73755;1219,2;0,81;0;1678,585717;0,81;0
3400,475409;43822471,87;1034324,95;0;1034324,95;11211,60208;1028,7;0,81;12039,3225;1697,71574;0,81;0
3485,211779;90760776,12;1071095,872;0;1071095,872;11598,72177;647,7;0,81;12467,32821;1736,995315;0,81;0
3527,579965;46196218,8;1090351,586;0;1090351,586;11801,92694;457,2;0,81;12691,46063;1757,153954;0,81;0
3527,579965;0;566096,7091;0;566096,7091;8575,275174;457,2;0,81;0;1757,153954;0,81;0
3562,957399;19983865,58;564876,0615;0;564876,0615;8558,255467;342,9;0,81;9150,260176;1770,25091;0,81;0
3633,712269;39797299,37;562467,2813;0;562467,2813;8531,213187;114,3;0,81;9111,241058;1796,654325;0,81;0
3669,089704;19873328,91;561751,549;0;561751,549;8521,148466;0;0,81;9099,647123;1809,975161;0,81;0
3669,089704;0;3015165,052;0;3015165,052;36084,32319;0;0,875;0;1809,975161;0,875;0
3679,165497;30211590,38;2998433,015;0;2998433,015;35895,85354;115,408858;0,875;36428,04689;1818,970009;0,875;0
3699,317084;59717430,67;2963410,806;0;2963410,806;35502,87542;344,4288013;0,875;36002,56109;1836,796007;0,875;0
3709,392877;29569986,14;2934755,224;0;2934755,224;35171,87178;457,2;0,875;35654,42362;1845,595812;0,875;0
3709,392877;0;2942409,391;0;2942409,391;33897,21103;457,2;0,875;0;1845,595812;0,875;0
3727,41032;52243582,78;2899611,381;0;2899611,381;33417,57824;650,7724367;0,875;33750,85996;1861,093589;0,875;0
3763,445205;102609709,6;2847510,394;0;2847510,394;32855,41953;1032,59449;0,875;33144,41555;1891,627288;0,875;0
3781,462647;50611566,63;2809031,75;0;2809031,75;32434,84898;1219,2;0,875;32696,53231;1906,611083;0,875;0
3781,462647;0;2815211,377;0;2815211,377;31467,62676;1219,2;0,875;0;1906,611083;0,875;0
3805,266051;65774427,04;2763236,176;0;2763236,176;30910,2118;1457,237297;0,875;31047,9851;1926,120241;0,875;0
3852,87286;127256027,1;2673063,576;0;2673063,576;29945,22323;1912,524093;0,875;30034,79717;1963,988986;0,875;0
3876,676264;63059217,98;2649168,076;0;2649168,076;29709,27711;2133,6;0,875;29766,30505;1982,517771;0,875;0
3876,676264;0;2656455,294;0;2656455,294;28728,36204;2133,6;0,875;0;1982,517771;0,875;0
3894,169241;45869815,96;2622184,661;0;2622184,661;28373,26432;2290,661952;0,875;28317,32895;1995,995669;0,875;0
3929,155196;89414112,8;2555714,509;0;2555714,509;27688,77503;2595,319442;0,875;27599,50874;2022,427309;0,875;0
3946,648173;44174690,88;2525281,482;0;2525281,482;27373,87842;2743,2;0,875;27270,85834;2035,398363;0,875;0
3946,648173;0;2530314,893;0;2530314,893;26670,98739;2743,2;0,875;0;2035,398363;0,875;0
3965,878779;48096273,66;2501027,459;0;2501027,459;26379,56983;2899,880432;0,875;26194,01105;2049,503615;0,875;0
4004,339992;94001709,17;2444065,12;0;2444065,12;25813,96145;3204,641931;0,875;25597,42738;2077,221319;0,875;0
4073,570599;167287154;2416375,665;0;2416375,665;25540,7877;3352,8;0,875;25307,42741;2090,844163;0,875;0
4073,570599;0;1178019,69;0;1178019,69;11693,62254;3352,8;0,83;0;2090,844163;0,83;0
4283,462286;246921078,1;1176421,428;0;1176421,428;11677,90978;3352,8;0,83;12163,72507;2171,486192;0,83;0
4728,245662;521835699;1173235,618;0;1173235,618;11646,5896;3352,8;0,83;12130,78508;2332,583928;0,83;0
5013,137349;333792791,2;1171648,056;0;1171648,056;11630,98202;3352,8;0,83;12114,37032;2413,0398;0,83;0
5013,137349;0;172870,2892;0;172870,2892;1146,361593;3352,8;0,4;0;2413,0398;0,4;0
5048,537349;6114073,812;172713,9495;0;172713,9495;1143,058387;3199,725529;0,4;1808,885019;2419,110013;0,4;0
5083,937349;6542646,344;184820,5182;0;184820,5182;1203,206146;2895,259095;0,4;1935,680746;2431,607021;0,4;0
5119,337349;6542646,344;184820,5182;0;184820,5182;1201,63422;2743,2;0,4;1935,680746;2437,989804;0,4;0
5154,737349;6542646,344;184820,5182;0;184820,5182;1243,937921;2743,2;0,4;1995,901924;2437,989804;0,4;0
5190,137349;6542646,344;184820,5182;0;184820,5182;1249,055706;2591,382872;0,4;1995,901924;2444,740565;0,4;0
5225,537349;6542646,344;184820,5182;0;184820,5182;1240,362727;2285,924371;0,4;1995,901924;2458,320582;0,4;0
5260,937349;7007205,231;197943,6506;0;197943,6506;1308,088729;2133,6;0,4;2137,620417;2465,282782;0,4;0
5296,337349;6896647,721;194820,5571;0;194820,5571;1348,993814;2133,6;0,4;2189,022352;2465,282782;0,4;0
5331,737349;7438972,946;210140,4787;0;210140,4787;1431,35306;1903,860453;0,4;2361,158452;2476,747011;0,4;0
5367,137349;8034133,386;226952,9205;0;226952,9205;1520,773911;1446,513503;0,4;2550,064651;2500,417572;0,4;0
5402,537349;8445325,109;238568,5059;0;238568,5059;1583,614402;1219,2;0,4;2680,578475;2512,67344;0,4;0
5437,937349;8397865,047;237227,8262;0;237227,8262;1637,375383;1219,2;0,4;2761,281458;2512,67344;0,4;0
5473,337349;8391134,672;237037,7026;0;237037,7026;1632,768469;1027,880141;0,4;2759,068459;2523,639401;0,4;0
5508,737349;8774832,068;247876,6121;0;247876,6121;1702,617658;647,0633086;0,4;2885,231061;2546,104394;0,4;0
5544,137349;8920994,803;252005,5029;0;252005,5029;1728,038401;457,2;0,4;2933,290472;2557,602222;0,4;0
5579,537349;19698941,48;556467,2734;0;556467,2734;8437,147064;457,2;0,81;9014,048706;2557,602222;0,81;0
5614,937349;19663743,32;555472,9751;0;555472,9751;8423,374193;342,9;0,81;8997,942362;2570,612998;0,81;0
5650,337349;19595955,87;553558,0754;0;553558,0754;8402,693339;114,3;0,81;8966,923468;2596,852722;0,81;0
5685,737349;19578137,03;553054,7183;0;553054,7183;8395,745004;0;0,81;8958,769735;2610,094239;0,81;0
5685,737349;0;1757922,728;0;1757922,728;14551,08479;457,2;0,83;0;2610,094239;0,83;0
6285,737349;1053466279;1755777,131;0;1755777,131;14510,44226;457,2;0,83;11809,54224;3020,775586;0,83;0
6885,737349;1050911426;1751519,043;0;1751519,043;14430,33995;457,2;0,83;11780,90189;3839,490609;0,83;0
7485,737349;1049644245;1749407,075;0;1749407,075;14390,87463;457,2;0,83;11766,69657;4247,540883;0,83;0
