mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
climb_5;8799,358718;110,638885;26,306449;26,224534;227,842492;2509,801246;29,828;221,252685;2346,31003;3377,353307;1,686376;0;0;0;0;2991,328674;0,081915;0;6,589806;546,210786;0,081915;0;543,476874;33,585728;783,262729;780,823746;0,285031;0,996886;1;0,971077;0,859123;0,262559
climb_5;8692,201822;109,312258;26,309295;26,227002;227,842492;2477,451318;29,828;221,252685;2317,55011;3341,376108;1,721874;0;0;0;0;2951,13678;0,082293;0;6,589806;539,740801;0,082293;0;542,454028;33,611953;782,736264;780,287934;0,284869;0,996872;1;0,971077;0,858764;0,262528
climb_5;8485,910811;106,7484;26,314606;26,231607;227,842492;2415,03145;29,828;221,252685;2261,994393;3271,95237;1,790541;0;0;0;0;2874,056849;0,082999;0;6,589806;527,256827;0,082999;0;540,4755;33,663577;781,693692;779,228153;0,284529;0,996846;1;0,971077;0,858024;0,262444
climb_5;8389,493281;105,549794;26,317087;26,233758;227,842492;2385,812161;29,828;221,252685;2235,935566;3239,527947;1,823766;0;0;0;0;2838,051202;0,083328;0;6,589806;521,412969;0,083328;0;539,518263;33,688995;781,17756;778,704097;0,284359;0,996834;1;0,971077;0,857645;0,262392
climb_6;8398,933205;112,41878;26,317106;26,233775;227,842492;2391,031093;29,828;221,252685;2248,17299;3250,135733;1,823896;0;0;0;0;2838,533263;0,083331;0;6,589806;522,456756;0,083331;0;539,518263;33,68902;781,17756;778,704021;0,284427;0,996834;1;0,971077;0,860616;0,263324
climb_6;8303,31984;111,158656;26,319768;26,236083;227,842492;2362,040626;29,828;221,252685;2222,217653;3218,150487;1,859391;0;0;0;0;2802,599991;0,083685;0;6,589806;516,658662;0,083685;0;538,495668;33,717307;780,601139;778,119186;0,284256;0,99682;1;0,971077;0,860227;0,263271
climb_6;8117,41922;108,712563;26,324724;26,24038;227,842492;2305,683329;29,828;221,252685;2171,702171;3155,573586;1,928083;0;0;0;0;2733,118785;0,084343;0;6,589806;505,387203;0,084343;0;536,516893;33,772975;779,461201;776,963841;0,283914;0,996796;1;0,971077;0,859421;0,263158
climb_6;8026,828606;107,52288;26,327034;26,242384;227,842492;2278,249868;29,828;221,252685;2147,086685;3124,872516;1,961291;0;0;0;0;2699,439812;0,08465;0;6,589806;499,900511;0,08465;0;535,560409;33,800377;778,897645;776,393226;0,283745;0,996785;1;0,971077;0,859006;0,263101
climb_7;8037,762768;114,686234;26,327051;26,242398;227,842492;2283,931404;29,828;221,252685;2158,798142;3136,4231;1,961445;0;0;0;0;2700,305052;0,084652;0;6,589806;501,036818;0,084652;0;535,560409;33,800398;778,897645;776,393163;0,283812;0,996785;1;0,971077;0,861732;0,263951
climb_7;7940,605655;113,322231;26,329563;26,244577;227,842492;2254,602077;29,828;221,252685;2132,443415;3103,381212;1,997135;0;0;0;0;2664,119463;0,084986;0;6,589806;495,170952;0,084986;0;534,532538;33,831337;778,259626;775,747565;0,283642;0,996772;1;0,971077;0,861296;0,263908
