;segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;density_kg_m3;temperature_C;lift_coefficient;drag_coefficient;angle_of_attack_rad;flight_path_angle_rad;mass_kg;mass_flow_kg_s;CG_m;CG_percent;throttle;battery_energy;battery_voltage;battery_voltage_under_load;battery_voltage_open_circuit;state_of_charge;rpm;rpm_wtp;battery_resistive_losses;emotor_efficiency;emotorWTP_efficiency;combustion_engine_throttle;beta_propeller;eta_propeller;cp_propeller;ct_propeller;j_propeller;rpm_propeller;thrust_propeller;beta_propellerWTP;eta_propellerWTP;cp_propellerWTP;ct_propellerWTP;j_propellerWTP;rpm_propellerWTP;thrust_propellerWTP;power_WTP;propeller_rpm;battery_current;battery_draw;propeller_motor_torque;propeller_torque;battery_specfic_power;propeller_tip_mach;propeller_power_coefficient;gas_turbine_p3;gas_turbine_t3;gas_turbine_far;electric_throttle;electric_throttle_WTP;disc_loading;power_loading;propeller_thrust;power;heat_load_vcs;tms_mdot_air_vcs;heat_load_liquid;tms_mdot_air_liquid;thrust_turboprop;thrust_WTP;power_propeller_turboprop;power_turboshaft;power_motor_turboprop;power_propeller_WTP;propellerWTP_tip_mach;co_emissions_index;co2_emissions_index;nox_emissions_index;co_emissions_total;co2_emissions_total;nox_emissions_total;l_over_d;weight;lift;drag
0;climb_1;0;0;0,241882353;82,31111111;101325;1,225;288,15;0,793295545;0,083252066;0,081944813;0,152268618;18265,41002;0,233869612;9,358278786;21,3069435;0,9;173253459,3;0;789,5975398;791,7953634;0,95;1041,601772;3169,005606;72,83026724;0,97107736;0,970962083;0,9;27,15009464;0,850656552;0,151037986;0,114406546;1,123025362;1041,601772;13420,28198;29,37361471;0,834536635;0,229806903;0,170772884;1,123025362;3169,005606;2164,148639;213451,9583;1041,601772;33,13744904;-26165,24824;-87,02942109;11905,16793;97,43765384;0,676650634;0,151037986;19,10966378;729,1406474;0,024038118;-1;1;1113,176882;0,024002423;31168,86124;3024046,838;259,0764058;0,035967514;8979,814382;0,227845615;13420,28198;2164,148639;1298571,46;1546189,152;227842,4916;213451,9583;0,676650634;2,004989242;3160;17,03331032;0;0;0;9,528839174;179183,6723;176074,6179;18478,07636
1;climb_1;20,17981588;116,113646;0,242199747;82,31111111;99937,88745;1,21140299;287,3952751;0,80191545;0,083703187;0,083179421;0,152778199;18260,70961;0,231987694;9,358066643;21,29659698;0,9;172723925,2;0;789,0928639;791,3103096;0,947096407;1041,601772;3169,005606;73,54051535;0,97107736;0,970962083;0,9;27,15982551;0,850652806;0,151405581;0,114684482;1,123025362;1041,601772;13303,56325;29,44237111;0,833861501;0,232386298;0,172549965;1,123025362;3169,005606;2162,397859;213451,9583;1041,601772;33,16451638;-26169,88321;-87,02942109;11801,67841;97,45491416;0,677538523;0,151405581;18,94678223;728,2576002;0,024049673;-1;1;1104,714749;0,02402884;30931,92222;3001470,332;259,4315299;0,034191271;8979,814382;0,224578017;13303,56325;2162,397859;1287283,208;1534728,997;227842,4916;213451,9583;0,677538523;2,000308729;3160;16,94829834;0,009413194;14,85331782;0,079863973;9,580464912;179137,5612;176012,2411;18371,99371
2;climb_1;60,53944764;344,7191839;0,242828269;82,31111111;97252,00285;1,184972167;285,9094465;0,819230591;0,084623338;0,085660579;0,153797823;18251,42151;0,228294566;9,357647123;21,27613645;0,9;171664546,1;0;788,093956;790,3477262;0,941287519;1041,601772;3169,005606;74,86465068;0,97107736;0,970962083;0,9;27,17839864;0,850645156;0,152110599;0,115217473;1,123025362;1041,601772;13073,78004;29,58003413;0,832485809;0,237569678;0,176107675;1,123025362;3169,005606;2158,830366;213451,9583;1041,601772;33,21751692;-26178,52432;-87,02942109;11597,94051;97,48709307;0,679296774;0,152110599;18,62611132;726,5191836;0,024072422;-1;1;1088,046792;0,024082032;30465,22081;2957024,389;260,0935975;0,030835876;8979,814382;0,218440391;13073,78004;2158,830366;1265060,236;1512167,604;227842,4916;213451,9583;0,679296774;1,991407063;3160;16,77932687;0,027950585;44,20369745;0,236497641;9,680906105;179046,445;175889,5189;18168,70414
3;climb_1;80,71926352;457,2;0,243139306;82,31111111;95952,1631;1,172131188;285,1784132;0,827921233;0,085092193;0,086906491;0,15430801;18246,83288;0,226483283;9,357439709;21,26602058;0,9;171134710,3;0;787,5996136;789,8701895;0,938382272;1041,601772;3169,005606;75,48184444;0,97107736;0,970962083;0,9;27,18724004;0,850641378;0,152447943;0,115472484;1,123025362;1041,601772;12960,72837;29,64890429;0,831786137;0,240172311;0,177887344;1,123025362;3169,005606;2157,015953;213451,9583;1041,601772;33,24348003;-26182,55203;-87,02942109;11497,7018;97,50209201;0,68016688;0,152447943;18,4683373;725,6638962;0,024083614;-1;1;1079,842048;0,024108802;30235,48864;2935157,055;260,4021944;0,029670039;8979,814382;0,215540153;12960,72837;2157,015953;1254126,569;1501067,435;227842,4916;213451,9583;0,68016688;1,987172793;3160;16,69541963;0,037078651;58,70375902;0,313299302;9,72969673;179001,4306;175829,1566;18071,39128
4;climb_2;80,71926352;457,2;0,25377665;85,91222222;95952,1631;1,172131188;285,1784132;0,759235809;0,044457821;0,072296786;0,178097708;18246,83288;0,226818543;9,357439709;21,26602058;0,9;171134710,3;0;787,5994444;789,8701895;0,938382272;1041,601772;3169,005606;75,48759383;0,97107736;0,970962083;0,9;27,94009785;0,856249443;0,152958948;0,111734975;1,172157722;1041,601772;12541,22727;30,273546;0,839979978;0,240172311;0,172109887;1,172157722;3169,005606;2086,959999;213451,9583;1041,601772;33,24353481;-26182,58955;-87,02942109;11536,24207;97,50223173;0,68016688;0,152958948;18,50255196;726,0567978;0,024077287;-1;1;1044,873584;0,023250153;29256,37453;2943564,715;260,4050691;0,030136449;8979,814382;0,216566683;12541,22727;2086,959999;1258330,399;1505335,283;227842,4916;213451,9583;0,68016688;1,985001335;3160;16,72020517;0,037078651;58,70375902;0,313299302;17,07766579;179001,4306;175659,4556;10285,91716
5;climb_2;102,5240303;653,1726155;0,254345236;85,91222222;93721,21347;1,150014319;283,9048132;0,773621842;0,045125124;0,074243708;0,178083939;18241,92162;0,223685023;9,357217595;21,25518779;0,9;170562106,3;0;787,0690556;789,3570068;0,935242515;1041,601772;3169,005606;76,12289166;0,97107736;0,970962083;0,9;27,95282045;0,85625505;0,153482968;0,112118501;1,172157722;1041,601772;12346,82266;30,38994398;0,838830599;0,244791262;0,175179839;1,172157722;3169,005606;2084,104327;213451,9583;1041,601772;33,27120437;-26186,73541;-87,02942109;11357,34161;97,51767063;0,681690791;0,153482968;18,22479923;724,5635254;0,024096929;-1;1;1030,783523;0,023297923;28861,85397;2904537,121;260,722718;0,028153334;8979,814382;0,211722546;12346,82266;2084,104327;1238816,602;1485524,321;227842,4916;213451,9583;0,681690791;1,977459199;3160;16,57198939;0,046807193;74,22335875;0,395063187;17,14392734;178953,2511;175610,548;10243,30917
6;climb_2;146,133564;1034,223976;0,255461726;85,91222222;89503,92112;1,107928866;281,4286353;0,802561749;0,046498885;0,078163506;0,178069884;18232,30038;0,217588459;9,356782124;21,23394931;0,9;169416598,6;0;786,0197241;788,3393709;0,928961357;1041,601772;3169,005606;77,30320633;0,97107736;0,970962083;0,9;27,97342109;0,856273061;0,154355483;0,11275824;1,172157722;1041,601772;11962,85523;30,62286873;0,836465385;0,254089829;0,181321458;1,172157722;3169,005606;2078,22787;213451,9583;1041,601772;33,32542067;-26194,43796;-87,02942109;11003,91408;97,54635443;0,684683185;0,154355483;17,68224446;721,6364585;0,024134727;-1;1;1002,93745;0,023396618;28082,16621;2827435,998;261,3128754;0,024358915;8979,814382;0,202949035;11962,85523;2078,22787;1200266,041;1446386,695;227842,4916;213451,9583;0,684683185;1,96361274;3160;16,27775462;0,065766804;104,6264549;0,553084726;17,25980625;178858,8668;175512,8675;10168,8782
7;climb_2;167,9383308;1219,2;0,25600899;85,91222222;87513,02812;1,087930805;280,2267163;0,817092401;0,047204663;0,080134095;0,178032807;18227,58852;0,214605435;9,356568691;21,22353988;0,9;168843704;0;785,5006652;787,8349057;0,925820006;1041,601772;3169,005606;77,85158223;0,97107736;0,970962083;0,9;27,98001897;0,856290235;0,154657169;0,112980891;1,172157722;1041,601772;11770,12157;30,73917127;0,83525439;0,258760442;0,184387128;1,172157722;3169,005606;2075,21911;213451,9583;1041,601772;33,35199795;-26198,01658;-87,02942109;10826,41279;97,55968097;0,68614995;0,154657169;17,42301481;720,2845819;0,024161882;-1;1;988,9558073;0,023448698;27690,68137;2788713,636;261,5870633;0,02284177;8979,814382;0,198993621;11770,12157;2075,21911;1180904,86;1426730,674;227842,4916;213451,9583;0,68614995;1,95654085;3160;16,13673691;0,075002497;119,5159467;0,629450155;17,30956961;178812,6434;175465,2314;10136,89163
8;climb_3;167,9383308;1219,2;0,265206918;88,99888889;87513,02812;1,087930805;280,2267163;0,762915687;0,044726317;0,072750165;0,165556848;18227,58852;0,214895937;9,356568691;21,22353988;0,9;168843704;0;785,5005175;787,8349057;0,925820006;1041,601772;3169,005606;77,8566234;0,97107736;0,970962083;0,9;28,62178858;0,86035793;0,155116791;0,109906226;1,214271173;1041,601772;11449,80913;31,26064767;0,841833102;0,258760442;0,179394118;1,214271173;3169,005606;2019,024355;213451,9583;1041,601772;33,35204611;-26198,04948;-87,02942109;10858,58756;97,55980348;0,68614995;0,155116791;17,45241214;720,5721072;0,024152428;-1;1;962,0623573;0,022743448;26937,66698;2795732,645;261,5895839;0,023176065;8979,814382;0,199827746;11449,80913;2019,024355;1184414,364;1430293,623;227842,4916;213451,9583;0,68614995;1,955149227;3160;16,15730601;0,075002497;119,5159467;0,629450155;17,05742243;178812,6434;175814,9131;10307,23802
9;climb_3;197,0988424;1456,349246;0,265939057;88,99888889;85013,37056;1,06269919;278,6858933;0,780804949;0,045568394;0,075174638;0,165560568;18221,38057;0,21112594;9,356287321;21,2098171;0,9;168077407,7;0;784,8120857;787,1647808;0,921618177;1041,601772;3169,005606;78,54958428;0,97107736;0,970962083;0,9;28,62946175;0,860377818;0,155493728;0,110175846;1,214271173;1041,601772;11211,69886;31,40724481;0,840331501;0,264904179;0,183325876;1,214271173;3169,005606;2015,422964;213451,9583;1041,601772;33,38706438;-26202,57163;-87,02942109;10632,52655;97,57664369;0,688044158;0,155493728;17,11971763;718,9119919;0,024193267;-1;1;944,7971877;0,022810171;26454,24364;2746416,856;261,9360643;0,021622064;8979,814382;0,195003007;11211,69886;2015,422964;1159756,469;1405260,227;227842,4916;213451,9583;0,688044158;1,94495005;3160;15,97734564;0,087104399;139,1330612;0,729193351;17,13479189;178751,7434;175764,3525;10257,74656
