mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
climb_6;10068,60152;165,205397;0;0;0;2392,675284;29,828;0;2423,076799;3603,233776;1,859356;0;0;0;0;4206,210504;0;0;0;299,08441;0;0;538,496698;0;0;0;0,236716;0;0;0;1;0,236772
climb_6;9831,997251;161,734968;0;0;0;2336,07211;29,828;0;2369,274761;3526,998001;1,928044;0;0;0;0;4098,906064;0;0;0;292,009014;0;0;536,518027;0;0;0;0,236738;0;0;0;1;0,237076
climb_6;9719,486794;160,083395;0;0;0;2308,679817;29,828;0;2343,254633;3490,688549;1,961291;0;0;0;0;4048,412532;0;0;0;288,584977;0;0;535,560409;0;0;0;0,236701;0;0;0;1;0,237182
climb_7;9737,16736;170,762254;0;0;0;2317,027184;29,828;0;2358,532696;3508,205122;1,961445;0;0;0;0;4050,907864;0;0;0;289,628398;0;0;535,560409;0;0;0;0,236866;0;0;0;1;0,238045
climb_7;9617,925388;168,897569;0;0;0;2287,710439;29,828;0;2330,663342;3469,57095;1,997053;0;0;0;0;3997,716515;0;0;0;285,963805;0;0;534,534889;0;0;0;0,236802;0;0;0;1;0,238143
climb_7;9387,670165;165,285447;0;0;0;2231,168035;29,828;0;2276,531235;3394,684131;2,065745;0;0;0;0;3895,209701;0;0;0;278,896004;0;0;532,556833;0;0;0;0,23668;0;0;0;1;0,238306
climb_7;9279,367973;163,586461;0;0;0;2203,914022;29,828;0;2250,717176;3359,430725;2,098864;0;0;0;0;3847,682822;0;0;0;275,489253;0;0;531,603311;0;0;0;0,236551;0;0;0;1;0,238349
climb_8;9299,550186;174,570722;0;0;0;2212,60082;29,828;0;2266,351025;3378,194938;2,099042;0;0;0;0;3851,398108;0;0;0;276,575102;0;0;531,603311;0;0;0;0,23669;0;0;0;1;0,239215
climb_8;9179,746893;172,560134;0;0;0;2183,177189;29,828;0;2237,968171;3338,887167;2,134826;0;0;0;0;3798,279845;0;0;0;272,897149;0;0;530,573215;0;0;0;0,236627;0;0;0;1;0,239296
climb_8;8956,335815;168,81178;0;0;0;2127,545177;29,828;0;2185,242291;3265,541164;2,203475;0;0;0;0;3700,029778;0;0;0;265,943147;0;0;528,597396;0;0;0;0,236421;0;0;0;1;0,239475
climb_8;8861,097196;167,233947;0;0;0;2103,795193;29,828;0;2162,756788;3234,60124;2,236505;0;0;0;0;3657,870205;0;0;0;262,974399;0;0;527,64697;0;0;0;0,236325;0;0;0;1;0,239552
cruise;8629,157508;314,100748;0;0;0;2076,825634;29,828;0;2101,327682;3312,452144;2,240661;0;0;0;0;3521,911816;0;0;0;353,060358;0;0;527,64697;0;0;0;0,235558;0;0;0;1;0,234962
cruise;8616,688139;313,646864;0;0;0;2073,196323;29,828;0;2097,40846;3307,659483;2,240661;0;0;0;0;3517,410535;0;0;0;352,443375;0;0;527,64697;0;0;0;0,235492;0;0;0;1;0,234863
cruise;8591,962101;312,746838;0;0;0;2066,001721;29,828;0;2089,63915;3298,155913;2,240661;0;0;0;0;3508,482644;0;0;0;351,220293;0;0;527,64697;0;0;0;0,235362;0;0;0;1;0,234667
